up,down,timedelta
78,78,-67
67,67,-88
82,82,-99
84,84,-151
78,78,-79
16,16,-445
13,13,-87
16,55,-157
55,16,-251
8,8,-81
49,49,-120
50,50,-67
16,53,-139
53,16,-195
8,8,-80
16,54,-191
54,16,-859
54,54,-79
49,49,-107
32,32,-55
68,68,-100
32,32,-55
70,70,-83
76,76,-68
74,74,-74
85,85,-71
32,32,-88
56,56,-71
49,49,-86
48,48,-62
50,50,-92
32,32,-63
70,70,-116
78,78,-105
72,72,-68
70,70,-87
86,86,-83
32,32,-75
55,55,-80
32,32,-67
70,70,-107
89,89,-77
70,70,-114
68,68,-90
74,74,-96
72,72,-75
66,66,-92
78,78,-74
82,82,-79
70,70,-91
76,76,-80
84,84,-84
72,72,-103
78,78,-83
74,74,-72
32,32,-100
70,70,-116
75,75,-102
83,83,-95
188,188,-95
8,8,-50
83,83,-58
32,32,-59
80,80,-66
70,70,-87
72,72,-59
32,32,-83
81,81,-80
66,66,-96
89,89,-60
76,76,-72
84,84,-88
75,75,-83
8,8,-82
84,84,-86
74,74,-44
67,67,-102
74,74,-79
71,71,-91
32,32,-90
70,70,-123
87,87,-123
66,66,-96
89,89,-99
70,70,-106
72,72,-101
78,78,-99
67,67,-109
32,32,-95
70,70,-67
78,78,-19
16,222,-131
222,16,-771
13,13,-62
70,70,-123
76,76,-75
74,74,-85
85,85,-79
32,32,-76
48,48,-79
56,56,-71
57,57,-80
49,49,-91
70,70,-102
8,8,-43
32,32,-63
219,219,-62
70,70,-98
72,72,-95
8,8,-72
70,70,-83
85,85,-72
66,66,-86
32,32,-91
219,219,-105
66,66,-71
82,82,-78
67,67,-88
81,81,-91
66,66,-64
71,71,-88
86,86,-101
66,66,-96
75,75,-96
16,74,-132
74,16,-332
32,32,-66
219,219,-103
66,66,-119
89,89,-75
78,78,-52
84,84,-68
75,75,-59
32,32,-85
70,70,-85
89,89,-88
32,32,-87
83,83,-103
78,78,-72
67,67,-96
66,66,-83
75,75,-91
74,74,-63
188,188,-6
76,76,-75
89,89,-78
70,70,-87
16,85,-157
85,16,-862
91,91,-250
32,32,-79
16,220,-162
220,16,-436
91,91,-232
32,32,-67
70,70,-92
76,76,-94
74,74,-111
85,85,-55
32,32,-78
54,54,-94
55,55,-89
57,57,-104
49,49,-79
32,32,-59
219,219,-77
83,83,-96
72,72,-67
85,85,-88
66,66,-104
32,32,-71
219,219,-57
66,66,-66
82,82,-78
67,67,-97
81,81,-98
66,66,-119
71,71,-98
86,86,-114
8,8,-80
71,71,-98
66,66,-142
75,75,-83
74,74,-94
32,32,-76
219,219,-58
66,66,-88
89,89,-75
78,78,-88
84,84,-71
75,75,-67
32,32,-63
70,70,-63
89,89,-128
32,32,-92
83,83,-99
78,78,-79
67,67,-108
66,66,-88
75,75,-90
74,74,-86
188,188,-94
76,76,-95
89,89,-84
70,70,-96
16,85,-100
85,16,-671
91,91,-232
32,32,-71
16,220,-120
220,16,-296
91,91,-204
32,32,-66
70,70,-171
76,76,-63
8,8,-50
70,70,-79
74,74,-83
85,85,-74
32,32,-76
48,48,-67
56,56,-75
57,57,-56
49,49,-99
32,32,-62
70,70,-76
72,72,-78
85,85,-67
66,66,-95
32,32,-94
219,219,-80
66,66,-82
82,82,-108
67,67,-102
81,81,-100
66,66,-96
71,71,-78
86,86,-109
66,66,-70
75,75,-86
16,74,-154
74,16,-388
8,8,-55
8,8,-59
75,75,-100
74,74,-98
32,32,-63
219,219,-75
66,66,-103
89,89,-73
78,78,-87
84,84,-71
75,75,-83
32,32,-75
83,83,-111
72,72,-80
84,84,-97
80,80,-79
66,66,-68
72,72,-75
71,71,-91
32,32,-88
84,84,-83
83,83,-95
89,89,-51
89,89,-64
90,90,-107
72,72,-120
188,188,-92
84,84,-91
72,72,-87
84,84,-79
67,67,-85
16,16,-313
91,91,-368
32,32,-83
16,220,-127
220,16,-346
91,91,-304
32,32,-84
70,70,-106
76,76,-79
74,74,-54
85,85,-91
32,32,-60
54,54,-81
55,55,-74
57,57,-84
49,49,-86
32,32,-62
70,70,-76
72,72,-84
85,85,-68
66,66,-91
32,32,-65
219,219,-85
66,66,-86
82,82,-88
67,67,-91
81,81,-104
66,66,-87
71,71,-74
86,86,-104
66,66,-124
75,75,-75
74,74,-71
32,32,-71
219,219,-67
66,66,-87
89,89,-58
78,78,-76
84,84,-78
75,75,-75
32,32,-51
83,83,-91
89,89,-70
74,74,-80
66,66,-80
71,71,-71
86,86,-112
84,84,-87
88,88,-111
16,16,-258
32,32,-66
91,91,-781
16,220,-138
220,16,-1637
91,91,-2125
32,32,-75
16,72,-235
72,67,-547
67,67,-263
67,67,-247
67,16,-173
32,32,-60
78,78,-73
74,74,-81
32,32,-76
83,83,-82
89,89,-78
74,74,-86
66,66,-83
71,71,-76
86,86,-100
84,84,-96
88,88,-121
32,32,-70
84,84,-91
66,66,-76
82,82,-95
67,67,-116
81,81,-99
66,66,-95
71,71,-91
86,86,-187
66,66,-108
75,75,-95
16,74,-97
74,16,-383
91,91,-209
32,32,-76
16,220,-134
220,16,-293
91,91,-256
32,32,-71
69,69,-107
75,75,-79
74,74,-76
188,188,-77
76,76,-89
89,89,-71
70,70,-96
85,85,-100
32,32,-112
74,74,-92
71,71,-87
32,32,-123
83,83,-107
89,89,-99
74,74,-119
66,66,-83
71,71,-87
86,86,-114
84,84,-94
88,88,-124
8,8,-83
71,71,-64
32,32,-51
84,84,-90
66,66,-72
82,82,-132
67,67,-99
81,81,-95
66,66,-92
71,71,-84
86,86,-123
66,66,-95
75,75,-103
16,74,-106
74,16,-574
91,91,-256
32,32,-31
16,220,-164
220,16,-364
91,91,-228
8,8,-64
16,220,-263
220,16,-265
32,32,-126
16,72,-271
72,67,-695
67,67,-291
67,67,-274
67,16,-183
32,32,-55
83,83,-95
78,78,-50
67,67,-102
66,66,-108
75,75,-87
74,74,-75
188,188,-76
76,76,-72
89,89,-80
70,70,-88
16,85,-115
85,16,-673
91,91,-229
32,32,-70
16,220,-166
220,16,-527
91,91,-292
8,8,-83
16,220,-200
220,16,-772
91,91,-773
32,32,-56
69,69,-92
78,78,-64
66,66,-93
68,68,-83
70,70,-102
65,65,-103
75,75,-76
70,70,-107
32,32,-80
74,74,-68
71,71,-92
32,32,-71
83,83,-111
78,78,-54
67,67,-91
66,66,-88
75,75,-91
74,74,-68
188,188,-92
76,76,-87
89,89,-95
70,70,-92
16,85,-124
85,16,-1069
91,91,-204
32,32,-83
16,220,-159
220,16,-283
8,8,-48
91,91,-354
8,8,-56
8,8,-72
16,220,-243
220,16,-568
91,91,-469
32,229,-68
32,32,-61
16,72,-291
72,67,-587
67,67,-275
67,67,-236
67,16,-173
32,32,-75
70,70,-84
78,78,-84
72,72,-75
74,74,-84
71,71,-92
67,67,-91
32,32,-104
70,70,-100
72,72,-96
8,8,-80
70,70,-94
84,84,-84
78,78,-79
67,67,-116
70,70,-83
86,86,-86
32,32,-67
84,84,-79
83,83,-108
89,89,-68
89,89,-71
84,84,-67
186,186,-66
69,69,-115
75,75,-91
67,67,-115
70,70,-95
16,80,-151
80,16,-822
91,91,-207
32,32,-51
16,220,-103
220,16,-254
91,91,-311
8,8,-49
16,220,-126
220,16,-531
8,8,-96
16,16,-553
13,13,-243
8,8,-85
8,8,-116
91,220,-235
16,16,-430
32,91,60
32,229,27
69,32,518
78,69,19
66,78,99
68,66,49
70,68,672
65,70,260
75,65,412
70,75,107
32,70,78
74,32,110
71,74,12
32,71,212
66,32,1487
66,66,81
75,66,91
70,75,55
89,70,27
74,89,140
67,74,15
72,67,333
8,72,194
67,8,810
84,67,280
71,84,140
16,71,-66
91,16,846
32,91,112
16,32,204
220,220,-94
91,16,250
32,91,145
84,32,658
68,84,115
82,68,89
67,82,128
74,67,-9
16,74,177
86,86,-76
32,16,176
68,32,-5
32,68,93
90,32,28
67,90,156
84,67,169
66,84,154
73,66,15
68,73,171
66,68,165
76,66,3
74,76,135
72,74,120
16,72,-45
91,16,964
91,91,788
16,39,740
220,91,679
91,220,463
8,16,1029
32,91,4808
91,8,4694
16,32,789
220,91,137
91,220,496
8,16,1044
16,91,838
191,8,460
8,191,1679
16,16,2860
220,8,1281
32,220,841
69,16,570
76,32,545
74,69,258
85,76,303
32,74,307
53,85,363
53,32,286
57,53,753
49,53,894
32,57,567
68,49,345
32,32,367
90,68,620
67,32,556
84,90,394
66,67,351
73,84,231
68,66,827
66,73,991
76,68,689
74,66,658
16,76,393
72,74,191
32,72,842
16,16,420
220,32,89
32,220,237
90,16,1959
75,32,1980
70,90,222
72,75,203
68,70,162
84,72,516
65,68,695
32,84,384
56,65,353
50,32,711
32,56,968
90,50,619
67,32,378
84,90,486
66,67,498
73,84,411
68,66,944
66,73,1067
76,68,316
74,66,590
72,76,746
16,74,132
32,72,1117
16,16,1337
53,32,374
66,53,909
66,16,632
72,66,203
74,66,222
85,72,256
8,74,498
8,85,1273
74,8,1267
72,8,626
84,74,382
78,72,159
70,84,186
82,78,369
16,70,192
13,82,435
89,16,5370
74,13,5260
66,89,290
71,74,268
86,66,241
84,71,299
88,86,395
32,84,498
189,88,308
32,32,95
50,189,440
56,32,617
8,50,1393
50,56,3292
57,8,2484
49,50,1151
32,57,1162
70,49,370
72,32,167
66,70,266
86,72,457
32,66,290
78,86,274
70,32,296
89,78,542
74,70,574
66,89,502
71,74,377
86,66,241
84,71,336
88,86,780
32,84,812
189,88,268
32,32,230
72,189,578
16,32,606
67,72,349
67,67,125
67,67,100
32,67,217
8,16,244
16,32,298
67,8,361
90,67,276
8,16,253
32,90,446
70,8,695
89,32,404
8,70,906
70,89,1149
72,8,634
74,70,644
188,72,446
67,74,410
16,188,167
13,67,472
74,16,1234
78,13,964
67,74,142
84,78,220
86,67,325
32,84,311
84,86,505
189,32,492
50,84,1723
32,189,2043
189,50,472
32,32,558
48,189,1049
56,32,781
57,48,697
49,56,968
32,57,813
83,49,682
72,32,660
85,83,422
66,72,236
32,85,352
84,66,385
66,32,196
82,84,115
67,66,240
81,82,356
66,67,465
71,81,410
86,66,539
66,71,778
75,86,703
16,66,446
74,75,124
32,74,741
189,16,480
32,32,144
16,189,513
72,32,469
67,72,341
67,67,57
67,67,80
32,67,212
90,16,237
70,32,219
89,90,265
8,70,767
8,89,869
89,8,492
89,8,448
72,89,159
74,89,167
188,72,377
16,74,491
67,188,232
13,67,1012
89,16,5309
74,13,4500
66,89,280
71,74,253
86,66,252
84,71,395
88,86,505
32,84,512
189,88,284
32,32,146
54,189,902
55,32,849
57,54,771
49,55,1311
32,57,978
83,49,518
8,32,282
70,83,789
72,8,802
85,70,195
66,72,243
32,85,603
84,66,586
66,32,183
82,84,150
67,66,252
81,82,345
8,67,974
8,81,1313
76,8,6287
70,8,6219
66,76,795
71,70,525
86,66,387
66,71,406
75,86,389
16,66,486
74,75,207
32,74,399
189,16,259
32,32,148
16,189,352
72,32,492
67,72,204
67,67,306
67,67,65
32,67,294
90,16,263
70,32,267
89,90,246
72,70,177
74,89,302
188,72,365
16,74,381
67,188,144
13,67,387
16,16,6926
55,13,6573
84,55,693
84,16,313
32,84,337
68,84,302
66,32,327
89,68,316
75,66,313
74,89,455
8,75,450
75,74,611
71,8,622
74,75,431
76,71,365
32,74,854
16,76,875
54,32,201
8,54,339
32,16,1017
69,8,845
78,32,214
82,69,127
84,78,210
74,82,171
72,84,193
71,74,133
32,72,187
77,71,317
88,32,224
74,77,203
86,88,248
74,74,277
71,86,276
32,74,154
84,71,146
78,32,122
84,84,174
186,78,206
74,84,261
86,186,272
32,74,344
83,86,358
68,32,262
16,83,130
13,68,355
16,16,1818
55,13,1610
8,55,717
8,16,648
16,8,1061
55,8,884
70,55,428
72,16,320
85,70,180
66,72,206
32,85,299
219,66,473
66,32,701
82,219,442
67,66,234
81,82,417
66,67,552
71,81,435
86,66,275
66,71,608
75,86,585
16,66,234
74,75,135
32,74,557
84,16,859
72,32,684
84,84,874
80,72,948
8,84,302
219,80,431
8,8,493
84,219,474
8,8,583
84,84,620
66,8,1120
72,84,980
71,66,170
32,72,325
74,71,445
32,32,416
66,74,436
77,32,589
78,66,472
70,77,422
78,78,361
67,70,115
32,78,212
70,67,222
82,32,376
68,70,335
74,82,203
78,68,191
74,74,279
85,78,319
70,74,417
80,85,401
32,70,333
74,80,338
78,32,248
16,74,326
222,78,215
13,222,2561
16,16,2659
48,13,400
16,48,448
55,16,238
75,55,420
85,16,474
89,75,316
70,85,179
16,89,234
57,70,175
32,57,460
219,16,3235
70,32,3437
72,219,434
85,70,180
66,72,184
32,85,259
219,66,400
66,32,512
82,219,327
67,66,240
81,82,440
66,67,481
71,81,383
86,66,282
66,71,414
75,86,294
16,66,243
74,75,107
32,74,486
70,16,265
89,32,126
32,70,271
90,89,251
66,32,295
89,90,251
84,66,150
75,89,198
71,84,230
69,75,413
78,71,465
67,69,365
83,78,402
16,67,345
68,83,109
13,68,457
66,16,972
82,13,750
75,66,253
83,82,176
67,75,304
67,83,888
16,67,682
91,67,214
13,16,2440
77,91,2708
79,13,772
67,77,258
190,79,303
69,67,1158
67,190,1053
78,69,210
69,67,133
82,78,230
69,69,228
70,82,307
69,69,404
82,70,748
16,69,441
189,82,424
83,16,1105
84,189,2045
82,83,1391
79,84,520
80,82,482
83,79,679
16,80,499
91,83,189
16,16,465
32,91,816
16,16,3034
55,32,2525
49,55,819
13,16,1734
90,49,1942
66,13,1350
89,90,523
70,66,172
88,89,311
84,70,422
86,88,357
8,84,295
88,86,481
66,8,488
72,88,219
71,66,325
16,72,183
13,71,7777
16,16,9068
55,13,1401
84,55,788
72,16,416
66,84,705
186,72,898
75,66,541
70,186,838
16,75,496
32,70,538
68,16,410
32,32,190
70,68,205
72,32,179
66,70,196
86,72,317
32,66,246
84,86,231
78,32,217
70,84,160
89,78,172
74,70,199
66,89,231
71,74,204
86,66,246
84,71,301
88,86,355
32,84,331
70,88,175
89,32,128
32,70,212
74,89,305
78,32,278
67,74,158
84,78,258
86,67,328
32,84,526
84,86,577
189,32,933
56,84,1179
32,189,1482
70,56,1027
75,32,200
90,70,239
89,75,187
70,90,253
80,89,384
32,70,419
90,80,317
70,32,302
72,90,395
74,70,370
78,72,287
74,74,203
82,78,199
32,74,708
16,82,1199
54,32,551
16,54,1037
48,16,798
70,48,406
76,16,217
74,70,280
85,76,320
32,74,541
49,85,503
50,32,282
32,49,392
74,50,952
76,32,1374
16,74,2566
57,76,1911
32,57,246
66,16,2828
66,32,2858
67,66,262
67,66,285
74,67,197
72,67,300
16,74,172
32,72,599
81,16,485
74,32,366
89,81,396
72,74,309
74,89,323
188,72,436
67,74,382
32,188,361
81,67,199
74,32,419
89,81,272
186,74,531
84,89,757
76,186,400
74,84,913
75,76,866
74,74,249
86,75,217
32,74,418
81,86,435
74,32,265
82,81,205
67,74,268
186,82,560
69,67,514
86,186,427
32,69,462
68,86,265
32,32,222
70,68,497
82,32,541
69,70,351
88,82,505
72,69,397
74,88,233
76,72,330
66,74,385
67,76,467
16,66,207
32,67,355
70,16,400
89,32,170
70,70,221
71,89,348
84,70,760
78,71,679
67,84,359
16,78,228
32,67,310
86,16,317
74,32,207
82,86,188
66,74,438
89,82,1099
79,66,1073
74,89,1027
86,79,740
74,74,124
71,86,124
32,74,822
75,71,902
83,32,266
188,75,241
32,83,793
69,188,751
76,32,162
74,69,268
85,76,341
32,74,493
55,85,708
49,32,597
48,55,315
50,49,124
32,48,687
16,50,806
68,32,174
13,68,946
16,16,1412
55,13,1029
81,55,11088
84,16,11177
87,81,452
66,84,556
89,87,347
70,66,163
72,89,146
85,70,202
70,72,342
80,85,320
32,70,365
86,80,335
74,32,608
72,86,603
84,74,175
89,72,122
84,84,316
72,89,497
78,84,546
32,72,593
75,78,2561
70,32,2468
78,75,199
74,70,235
188,78,306
70,74,265
72,188,227
32,70,308
78,72,346
84,32,225
75,78,189
32,84,258
74,75,319
85,32,272
74,74,236
89,85,160
86,74,265
16,89,177
32,86,49144
16,16,49181
55,32,199
88,55,441
90,16,1381
86,88,1414
32,90,3275
8,86,4943
188,32,5357
8,8,3751
49,188,2784
48,8,3011
54,49,541
32,48,1259
75,54,1370
66,32,334
86,75,169
67,66,116
74,86,229
72,67,202
71,74,157
70,72,190
80,71,197
32,70,286
16,80,404
54,32,203
66,54,309
88,16,290
84,66,437
72,88,203
78,84,154
67,72,166
68,78,218
32,67,281
50,68,684
53,32,940
50,50,660
32,53,681
75,50,482
84,32,262
68,75,264
74,84,244
72,68,207
71,74,171
32,72,204
16,71,425
72,32,373
67,72,269
67,67,329
67,67,88
32,67,313
83,16,275
76,32,198
89,83,335
70,76,330
86,89,247
74,70,270
82,86,186
32,74,262
81,82,248
74,32,210
89,81,285
72,74,499
74,89,483
188,72,497
67,74,587
32,188,839
84,67,705
68,32,398
70,84,421
78,68,229
67,70,122
74,78,426
67,67,514
32,74,499
16,67,555
68,32,253
13,68,486
16,16,1701
55,13,1363
69,55,361
76,16,325
74,69,284
85,76,311
32,74,313
57,85,998
55,32,1039
57,57,570
49,55,590
32,57,683
66,49,482
32,32,352
53,66,1130
55,32,1216
57,53,605
49,55,727
32,57,876
16,49,962
72,32,835
67,72,221
67,67,293
67,67,85
32,67,274
68,16,258
74,32,166
76,68,272
74,74,360
72,76,312
70,74,236
89,72,150
32,70,8335
75,89,9740
8,32,1769
71,75,3856
8,8,3680
78,71,1934
8,8,2282
70,78,3419
89,8,3041
32,70,513
83,89,528
76,32,244
70,83,271
66,76,729
82,70,787
70,66,349
78,82,267
72,70,257
70,78,468
70,72,482
67,70,302
16,70,129
32,67,416
77,16,478
78,32,281
84,77,432
75,78,383
66,84,176
76,75,178
84,66,359
188,76,365
74,84,308
16,188,377
71,74,148
32,71,456
16,16,994
55,32,849
55,55,2427
56,16,2084
57,55,1388
49,56,1498
32,57,939
16,49,980
54,32,319
51,54,563
8,16,314
50,51,319
56,8,389
57,50,301
49,56,507
32,57,923
16,49,2221
54,32,1670
8,54,302
16,16,486
55,8,318
50,55,689
56,16,627
57,50,258
49,56,754
32,57,1294
16,49,1270
54,32,773
8,54,790
16,16,5083
55,8,4919
48,55,1225
56,16,1059
57,48,544
49,56,989
32,57,1364
189,49,901
32,32,1052
54,189,2572
55,32,1922
57,54,499
49,55,580
32,57,725
16,49,2210
72,32,1899
67,72,225
67,67,143
67,67,86
32,67,836
89,16,872
74,32,416
66,89,426
71,74,345
86,66,271
84,71,312
16,86,393
88,84,198
8,88,267
16,16,410
88,8,449
16,16,230
32,88,1409
16,16,1756
55,32,659
70,55,502
8,16,404
71,70,560
76,8,712
74,71,408
85,76,324
32,74,331
16,85,561
55,32,1284
56,16,962
57,55,337
49,56,397
32,57,564
68,49,664
74,32,483
82,68,189
188,74,246
69,82,243
82,188,539
32,69,586
70,82,363
82,32,450
188,70,623
69,82,521
82,188,219
16,69,100
32,82,825
16,16,921
54,32,185
70,54,512
76,16,447
74,70,381
85,76,781
32,74,744
53,85,1063
56,32,1140
57,53,504
49,56,953
32,57,1201
70,49,897
82,32,409
188,70,4
69,82,5
82,188,806
72,69,223
84,82,223
8,72,565
82,84,1087
71,8,1456
69,82,1009
16,71,1486
67,69,1171
32,67,536
77,16,470
75,32,279
84,77,217
78,75,150
70,84,220
76,78,249
70,70,101
75,76,148
188,70,648
16,75,757
74,188,136
32,74,307
8,16,6905
8,32,6921
8,8,240
8,8,234
8,8,241
8,8,498
8,8,553
8,8,366
8,8,352
8,8,300
8,8,290
8,8,466
8,8,458
8,8,278
8,8,352
8,8,242
8,8,5714
72,8,6473
84,8,1610
71,72,1154
69,84,486
67,71,471
16,69,137
32,67,397
77,16,1144
75,32,943
84,77,230
78,75,161
70,84,240
76,78,247
70,70,161
75,76,383
8,70,483
8,75,350
70,8,281
76,8,307
188,70,341
16,76,380
74,188,135
32,74,590
16,16,3758
55,32,3549
53,55,1028
56,16,773
57,53,361
49,56,534
32,57,1747
16,49,1507
54,32,210
56,54,565
55,16,518
57,56,485
49,55,532
32,57,345
16,49,604
86,32,559
88,86,205
32,88,322
72,16,553
84,32,425
80,72,199
66,84,466
72,80,514
71,66,183
32,72,703
81,71,703
83,32,230
89,81,196
90,83,188
72,89,180
188,90,677
84,72,801
72,188,267
84,84,327
67,72,431
16,84,164
32,67,445
16,16,477
55,32,254
70,55,219
76,16,173
74,70,266
85,76,304
32,74,331
50,85,936
56,32,919
57,50,1148
49,56,3889
32,57,3490
70,49,874
82,32,921
69,70,725
188,82,296
70,69,233
82,188,248
72,70,181
84,82,118
71,72,189
69,84,271
16,71,301
67,69,104
16,67,373
32,16,668
91,16,2113
32,32,2357
77,39,2030
75,91,2081
84,32,2616
78,77,1021
70,75,937
76,84,320
8,78,426
70,70,658
70,76,770
75,8,637
188,70,468
16,70,777
74,75,723
16,188,1251
55,74,756
53,16,1409
56,55,1262
57,16,1296
49,53,742
32,56,4184
16,57,4582
54,49,4431
8,32,1211
188,54,1129
8,16,1313
8,8,1237
32,188,972
16,8,1353
55,8,1380
56,32,2382
55,55,1520
57,16,1003
49,56,787
32,55,1134
16,57,1286
86,49,1227
88,32,1103
32,86,977
72,88,827
84,16,882
80,32,395
66,72,460
72,84,445
71,80,444
32,66,1115
81,72,1200
90,71,1647
8,32,941
8,81,1110
8,90,686
8,8,724
32,8,982
81,8,1138
83,8,1128
89,32,532
89,81,338
90,83,334
72,89,629
188,89,1248
84,90,1288
72,72,925
84,188,379
67,84,324
16,72,323
32,84,3091
16,67,3094
55,16,2926
70,32,517
76,55,333
74,16,632
85,70,615
32,76,814
50,74,1270
56,85,1303
8,32,1606
50,50,1107
57,56,1049
49,8,675
32,50,617
70,57,633
72,49,530
66,32,374
86,70,398
16,72,609
32,66,1048
89,86,1049
74,16,769
66,32,428
71,89,397
86,74,370
84,66,458
88,71,599
16,86,421
13,84,921
32,88,1676
16,16,2182
55,13,1972
8,32,1467
8,55,621
32,16,759
16,8,789
56,8,729
70,32,887
76,56,676
74,16,490
85,70,415
32,76,601
48,74,2393
56,85,2349
57,32,3035
49,48,1506
32,56,3338
83,57,2565
76,49,2233
70,32,508
66,83,462
71,76,486
86,70,539
66,66,503
75,71,486
16,86,414
74,66,263
32,75,930
72,74,964
84,16,901
80,32,519
66,72,658
72,84,591
71,80,471
32,66,425
81,72,372
83,71,525
89,32,345
90,81,397
72,83,299
188,89,540
84,90,519
72,72,830
74,188,1732
67,84,1904
16,72,1529
32,74,746
16,67,656
55,16,499
70,32,659
76,55,471
74,16,450
85,70,473
32,76,625
54,74,660
55,85,833
57,32,981
49,54,959
32,55,1044
70,57,766
72,49,594
85,32,391
66,70,295
32,72,533
219,85,647
66,66,901
82,32,665
67,219,547
81,66,445
66,82,630
71,67,578
86,81,513
66,66,463
75,71,549
16,86,639
74,66,458
32,75,4463
89,74,4843
74,16,1127
66,32,952
71,89,406
86,74,374
84,66,460
88,71,532
