up,timedelta,down
32,139,80
191,23,32
16,-117,191
84,15991,16
68,173,84
78,19,68
67,54,78
77,60,67
75,114,77
84,58,75
78,103,84
70,67,78
76,78,70
80,136,76
66,107,80
32,352,66
86,1407,32
74,176,86
89,103,74
186,71,89
66,110,186
89,174,66
82,175,89
32,431,82
86,740,32
74,139,86
82,72,74
67,149,82
89,57,67
66,133,89
68,30,66
69,130,68
78,72,69
32,141,78
68,74,32
32,766,68
86,873,32
74,67,86
72,84,74
74,84,72
78,96,74
82,390,78
70,139,82
76,54,70
84,271,76
72,82,84
32,58,72
75,65,32
70,66,75
78,58,70
74,124,78
188,182,74
70,97,188
16,319,70
72,-54,72
32,1590,16
191,834,32
16,392,191
48,-58,48
51,187,16
57,328,51
57,73,57
49,242,57
16,375,49
57,-65,57
32,101,16
74,458,32
85,142,74
74,118,85
82,120,74
77,542,82
72,119,77
74,433,72
16,119,74
85,-40,85
191,150,16
16,215,191
86,-76,86
32,63,16
191,792,32
86,79,191
66,147,86
32,342,66
78,549,32
69,214,78
78,213,69
66,161,78
78,165,66
67,1606,78
89,134,67
66,145,89
32,122,66
81,49,32
83,86,81
89,106,83
72,125,89
69,87,72
78,98,69
70,100,78
72,100,70
84,205,72
78,496,84
66,169,78
16,344,66
75,-52,75
32,1059,16
75,79,32
66,156,75
88,89,66
89,635,88
74,831,89
82,69,74
74,55,82
32,142,74
191,33,32
16,-117,191
70,1427,16
82,97,70
67,1235,82
86,144,67
74,118,86
16,257,74
78,-53,78
32,74,16
191,241,32
85,185,191
32,351,85
84,111,32
78,9,84
69,95,78
78,140,69
66,121,78
78,89,66
67,496,78
89,191,67
66,135,89
32,378,66
86,1711,32
74,17,86
82,32,74
67,60,82
89,209,67
66,102,89
87,111,66
8,184,87
66,677,8
66,1856,66
76,160,66
84,649,76
86,237,84
32,111,86
68,94,32
32,1603,68
90,235,32
67,50,90
75,285,67
66,116,75
88,255,66
16,292,88
69,-57,69
32,127,16
191,1001,32
16,334,191
72,-100,72
67,-32,67
67,-52,67
8,368,16
8,197,8
8,88,8
72,806,8
67,257,72
67,116,67
16,134,67
70,-59,70
32,675,16
81,231,32
74,354,81
82,114,74
67,169,82
89,98,67
66,139,89
68,83,66
69,124,68
16,402,69
78,-66,78
32,2006,16
32,21,32
70,223,32
89,223,70
74,159,89
81,58,74
70,232,81
72,159,70
32,443,72
74,2656,32
85,89,74
74,78,85
8,516,74
8,61,8
82,791,8
74,-23,74
82,32,82
67,168,82
86,175,67
84,-35,86
16,267,84
219,-70,219
189,765,16
72,668,189
69,99,72
75,63,69
16,196,75
69,-75,69
32,170,16
85,517,32
83,372,85
75,291,83
70,97,75
85,160,70
72,1587,85
74,126,72
16,242,74
78,-69,78
32,82,16
84,171,32
75,63,84
84,110,75
67,213,84
32,322,67
68,86,32
32,610,68
70,146,32
76,249,70
74,1089,76
85,176,74
