,avg_duration1,avg_duration2,avg_duration3,avg_duration4,avg_duration5,avg_interval1,avg_interval2,avg_interval3,avg_interval4,avg_interval5,med_duration1,med_duration2,med_duration3,med_duration4,med_duration5,med_interval1,med_interval2,med_interval3,med_interval4,med_interval5,mistaken_shift_duration,shift_first_interval_avg1,shift_first_interval_avg2,shift_first_interval_avg3,shift_first_interval_avg4,shift_first_interval_avg5,shift_first_interval_med1,shift_first_interval_med2,shift_first_interval_med3,shift_first_interval_med4,shift_first_interval_med5,shift_last_interval_avg1,shift_last_interval_avg2,shift_last_interval_avg3,shift_last_interval_avg4,shift_last_interval_avg5,shift_last_interval_med1,shift_last_interval_med2,shift_last_interval_med3,shift_last_interval_med4,shift_last_interval_med5,shift_mistakes,typos_center_edge,typos_left_right,typos_per_presses1,typos_per_presses2,typos_per_presses3,typos_per_presses4,typos_per_presses5,words_in_memory,class,lang_alt,lang_cmd,lang_ctrl_shift,lang_ctrl_space
47,112.3157894736842,102.81188118811882,99.51898734177215,114.33333333333333,107.6,116.10526315789474,106.14423076923077,105.81481481481481,113.70370370370371,110.17241379310344,112.0,104.0,104.0,112.0,106.5,48.0,8.0,24.0,64.0,-31.0,72.0,144.0,158.6,,91.0,,144.0,144.0,,96.0,,115.5,113.16666666666667,,92.66666666666667,,115.5,123.5,,96.0,,0.09090909090909091,4.0,0.6666666666666666,0.05,0.009259259259259259,0.034482758620689655,0.0,0.03225806451612903,0.15121951219512195,8,0,0,0,1
48,111.22222222222223,105.80208333333333,106.51685393258427,113.14814814814815,97.89189189189189,115.61111111111111,106.60215053763442,112.0,113.15384615384616,99.4054054054054,112.5,104.0,105.0,112.0,97.0,80.0,-7.0,32.0,31.5,-24.0,,,112.5,125.0,95.0,,,96.5,125.0,95.0,,,85.33333333333333,23.0,,44.0,,92.0,23.0,,44.0,0.0,inf,inf,0.0,0.009900990099009901,0.0,0.0,0.07894736842105263,0.18009478672985782,8,0,0,0,1
49,111.9,108.07777777777778,108.53260869565217,113.56521739130434,97.125,113.15789473684211,110.95555555555555,113.86315789473684,114.0952380952381,97.125,111.5,111.0,111.0,119.0,99.5,65.0,-16.0,17.0,16.0,-16.0,,,100.66666666666667,153.0,125.33333333333333,,,96.0,153.0,104.0,,216.0,93.33333333333333,7.0,,12.5,216.0,96.0,7.0,,12.5,0.0,3.0,0.3333333333333333,0.0,0.010416666666666666,0.02,0.041666666666666664,0.025,0.1895734597156398,8,0,0,0,1
50,103.05555555555556,82.2625,69.39583333333333,70.35714285714286,76.64864864864865,105.95,87.07777777777778,69.10752688172043,70.38095238095238,78.22857142857143,105.0,82.0,69.5,70.0,72.0,213.0,110.5,128.0,218.0,159.0,,,247.125,127.5,215.22222222222223,,,199.0,127.5,223.0,,,90.5,103.5,129.88888888888889,,,101.5,103.5,118.0,,0.0,inf,1.0,0.0,0.01098901098901099,0.010416666666666666,0.0,0.02631578947368421,0.3392857142857143,9,0,0,0,1
51,101.3,86.25892857142857,70.47560975609755,70.5,79.74193548387096,112.66666666666667,89.08928571428571,70.3,72.08333333333333,81.58064516129032,104.5,86.0,69.0,71.5,74.0,179.0,126.5,102.0,186.0,125.0,,,389.0,181.0,247.75,,,389.0,181.0,234.0,,,403.0,86.0,150.5,,,403.0,86.0,152.5,,0.0,4.0,0.6666666666666666,0.0,0.01680672268907563,0.024390243902439025,0.0625,0.030303030303030304,0.35106382978723405,9,0,0,0,1
52,105.53333333333333,82.96153846153847,66.4320987654321,72.19047619047619,82.27777777777777,110.52941176470588,86.89814814814815,66.2125,72.6875,84.05714285714286,106.0,84.0,69.0,73.0,75.5,176.0,106.0,107.0,290.0,105.0,240.0,167.0,314.0,12.333333333333334,169.0,,167.0,314.0,3.0,165.0,,85.0,244.0,64.33333333333333,114.5,,85.0,244.0,8.0,111.5,,0.09090909090909091,inf,2.5,0.0,0.044642857142857144,0.024691358024691357,0.0,0.02564102564102564,0.35135135135135137,9,1,0,0,0
53,104.0,92.3,72.183908045977,73.44444444444444,85.94871794871794,114.38461538461539,95.93913043478261,72.1566265060241,73.0,87.66666666666667,110.0,91.0,72.0,74.0,82.0,193.0,102.0,111.0,218.0,108.0,,,288.0,190.5,147.5,,,288.0,190.5,145.0,,,102.0,28.0,101.75,,,102.0,28.0,101.5,,0.0,inf,inf,0.0,0.008333333333333333,0.0,0.0,0.0,0.3565217391304348,9,0,0,0,1
54,110.0625,92.27659574468085,70.94047619047619,72.21052631578948,86.51351351351352,112.61111111111111,96.75510204081633,71.7439024390244,71.625,88.45945945945945,107.0,91.0,72.0,74.0,90.0,130.5,113.0,105.5,179.0,82.0,,,312.0,149.0,232.4,,,312.0,149.0,187.0,,,108.5,53.0,137.6,,,108.5,53.0,137.0,,0.0,0.5,2.0,0.05555555555555555,0.009708737864077669,0.0,0.02631578947368421,0.025,0.3418803418803419,9,0,0,0,1
55,110.85714285714286,95.5764705882353,69.32857142857142,74.48717948717949,85.75,115.6,100.72826086956522,69.45588235294117,73.91176470588235,89.0,111.5,96.0,67.5,75.0,82.5,95.0,105.5,103.5,148.5,161.0,,,147.66666666666666,281.3333333333333,215.625,,,150.0,191.0,186.0,,,96.33333333333333,155.0,149.33333333333334,,,98.0,181.0,137.0,,0.0,2.0,2.0,0.0625,0.010526315789473684,0.014285714285714285,0.0,0.0,0.32967032967032966,9,0,0,1,0
56,111.73684210526316,91.8961038961039,72.2289156626506,79.11764705882354,74.72972972972973,117.65217391304348,94.8048780487805,72.4625,79.44827586206897,74.74285714285715,113.0,90.0,74.0,81.0,73.0,205.0,110.0,116.0,160.0,164.0,,,178.25,285.0,255.36363636363637,,,167.5,229.0,229.0,,,123.0,146.6,135.63636363636363,,,121.0,128.0,157.0,,0.0,1.5,0.6666666666666666,0.0,0.024096385542168676,0.012048192771084338,0.05714285714285714,0.0,0.4318181818181818,9,0,0,0,1
57,102.27272727272727,91.31632653061224,69.7625,75.18181818181819,74.72413793103448,111.2,93.33333333333333,69.85714285714286,75.11111111111111,79.93103448275862,108.0,91.0,70.0,75.0,69.0,138.0,104.0,101.0,147.0,190.0,,316.5,254.5,273.0,262.5,,316.5,240.0,257.0,225.5,,352.5,100.0,125.66666666666667,156.1,,352.5,108.5,106.0,156.0,,0.0,1.0,3.0,0.0625,0.019230769230769232,0.0,0.030303030303030304,0.0,0.34408602150537637,9,0,0,0,1
58,114.3076923076923,94.70689655172414,72.1375,79.0,78.47368421052632,125.71428571428571,98.4,72.1375,78.8,79.29729729729729,123.0,92.5,72.0,80.0,72.5,187.0,126.5,104.5,152.0,109.0,,262.0,265.0,177.0,144.0,,262.0,265.0,177.0,144.0,,94.0,102.5,24.0,153.5,,94.0,102.5,24.0,153.5,,0.0,2.0,2.0,0.058823529411764705,0.008,0.0125,0.0,0.075,0.30303030303030304,9,0,0,0,1
59,111.75,92.67567567567568,87.1470588235294,94.82758620689656,118.96774193548387,116.61538461538461,100.375,87.1076923076923,93.91304347826087,121.3125,112.0,90.0,86.0,100.0,122.0,166.0,94.0,96.0,294.0,169.0,183.5,,136.0,143.33333333333334,138.33333333333334,,,124.0,148.0,130.0,,,-17387.555555555555,131.33333333333334,138.54545454545453,,,80.0,133.0,118.0,,0.22857142857142856,3.0,1.0,0.038461538461538464,0.012048192771084338,0.029411764705882353,0.0,0.029411764705882353,0.3469387755102041,10,1,0,0,0
