up,down,timedelta
66,32,-16
75,66,128
67,75,67
84,67,229
89,84,24
74,89,148
71,74,51
32,71,72
84,32,33
222,84,178
69,222,670
32,69,230
68,32,56
74,68,212
86,74,64
70,86,96
72,70,52
219,72,290
32,219,304
219,32,31
66,219,196
78,66,79
222,78,184
32,222,217
80,32,-10
66,80,153
32,66,75
84,32,15
83,84,190
72,83,126
78,72,109
74,78,87
82,74,16
84,82,99
89,84,17
32,89,65
74,32,-59
78,74,-55
88,78,4
32,88,44
69,32,11
86,69,17
74,86,112
78,74,73
74,78,87
71,74,46
32,71,24
70,32,46
89,70,73
77,89,250
75,77,93
70,75,50
82,70,80
66,82,64
89,66,102
69,89,105
32,69,176
70,32,50
78,70,29
74,78,105
188,74,133
70,188,124
72,70,39
32,72,106
70,32,51
78,70,134
16,78,130
222,222,-86
32,16,272
191,32,72
81,191,26
84,81,226
67,84,117
66,67,471
71,66,76
67,71,141
74,67,79
72,74,93
32,72,160
69,32,50
86,69,314
86,86,86
70,86,87
72,70,25
85,72,97
72,85,226
71,72,38
32,71,34
190,32,46
67,190,313
68,67,68
32,68,135
77,32,-36
78,77,94
70,78,104
68,70,76
74,68,25
72,74,100
66,72,143
69,66,235
72,69,65
78,72,123
67,78,23
89,67,89
74,89,177
82,74,24
84,82,118
72,84,37
32,72,81
86,32,17
70,86,84
89,70,26
32,89,83
78,32,-33
84,78,16
90,84,209
75,90,40
74,75,495
70,74,61
80,70,220
74,80,453
71,74,33
32,71,83
74,32,-59
78,74,-70
88,78,18
32,88,534
191,32,149
16,191,-101
70,16,104
8,70,34
68,8,274
87,68,189
89,87,785
74,89,107
82,74,12
32,82,160
74,32,-33
76,74,95
32,76,229
66,32,-32
32,66,73
70,32,29
75,70,11
70,75,65
88,70,95
70,88,172
89,70,52
32,89,98
78,32,-25
74,78,176
32,74,333
219,32,44
66,219,65
32,66,196
75,32,-27
70,75,64
68,70,55
74,68,40
72,74,72
66,72,79
72,66,78
74,72,94
82,74,10
67,82,93
32,67,46
89,32,-20
74,89,98
16,74,-85
32,16,313
191,32,34
66,191,479
66,66,55
67,66,235
8,67,383
8,8,389
8,8,103
191,8,231
66,191,286
66,66,95
67,66,166
74,67,123
16,74,41
72,72,-73
32,16,143
66,32,90
66,66,74
72,66,88
74,72,81
78,74,59
66,78,93
72,66,78
72,72,81
84,72,11
78,84,-4
32,78,57
70,32,-32
89,70,29
32,89,72
191,32,90
16,191,-53
77,16,206
78,77,67
67,78,16
70,67,132
8,70,781
8,8,136
8,8,77
8,8,67
8,8,59
8,8,66
8,8,56
32,8,247
89,32,106
32,89,75
77,32,-42
78,77,-69
67,78,36
8,67,298
74,8,269
78,74,-64
88,78,38
32,88,84
70,32,31
32,70,86
191,32,63
16,191,-107
66,16,256
66,66,65
80,66,169
69,80,197
72,69,70
85,72,98
16,85,-58
32,16,63
66,32,52
66,66,79
72,66,94
74,72,76
78,74,79
66,78,188
72,66,87
72,72,72
84,72,59
78,84,147
32,78,29
70,32,-27
89,70,48
32,89,40
90,32,-22
67,90,51
78,67,218
66,78,85
76,66,171
74,76,234
219,74,178
70,219,288
89,70,61
32,89,96
219,32,-4
83,219,189
72,83,75
74,72,73
78,74,63
74,78,171
82,74,32
32,82,275
80,32,-4
66,80,115
32,66,117
77,32,-42
78,77,68
67,78,17
70,67,96
88,70,86
32,88,28
191,32,78
16,191,-47
68,16,135
74,68,242
86,74,58
70,86,74
72,70,-4
219,72,189
32,219,135
66,32,-1
86,66,48
77,86,225
67,77,221
74,67,277
68,74,42
32,68,182
74,32,12
75,74,77
74,75,100
82,74,39
74,82,44
32,74,131
75,32,-158
70,75,72
68,70,62
74,68,73
66,74,238
71,66,83
74,71,125
82,74,34
67,82,127
8,67,562
8,8,268
8,8,94
32,8,483
74,32,-43
71,74,55
32,71,345
89,32,-44
16,89,56
74,74,-107
32,16,188
191,32,256
88,191,217
66,88,199
68,66,30
84,68,276
70,84,86
75,70,25
8,75,720
70,8,625
74,70,236
82,74,79
66,82,28
89,66,82
16,89,-67
32,16,75
65,32,47
77,65,727
75,77,79
74,75,72
76,74,101
70,76,254
16,70,-95
32,16,405
70,32,10
75,70,65
70,75,76
75,70,41
84,75,202
76,84,30
67,76,96
32,67,83
74,32,-48
89,74,103
89,89,72
84,89,34
86,84,64
66,86,94
8,66,437
8,8,62
8,8,60
8,8,59
8,8,66
8,8,64
32,8,548
84,32,10
74,84,28
82,74,36
70,82,103
78,70,5
32,78,752
74,32,-68
78,74,-86
88,78,132
16,88,-91
8,16,359
8,8,62
84,8,291
88,84,220
16,88,-85
32,16,278
191,32,161
77,191,275
67,77,44
66,67,290
71,66,71
74,71,944
68,74,51
8,68,59
70,8,329
66,70,274
222,66,223
32,222,373
74,32,-37
89,74,1
89,89,0
84,89,31
86,84,93
66,86,16
32,66,125
70,32,-4
32,70,60
191,32,79
16,191,-63
8,16,229
8,8,58
32,8,246
191,32,123
74,191,263
68,74,62
78,68,70
67,78,146
67,67,78
69,67,116
82,69,86
67,82,180
66,67,75
32,66,139
84,32,42
74,84,42
89,74,76
77,89,147
75,77,101
