timedelta,down,up
-100551,78,72
-100664,70,74
-100713,86,65
-102487,32,89
-102504,84,66
-102481,66,32
-102470,89,66
-102456,84,86
-102551,75,70
-102840,68,82
-102655,70,74
-102671,72,78
-102665,71,74
-102880,69,71
-104328,32,32
-104400,84,66
-104656,74,86
-104591,82,66
-104615,67,79
-104552,84,190
-104536,88,69
-104480,8,68
-104600,67,78
-105704,66,67
-105639,85,78
-105784,84,84
-105872,78,68
-105927,70,78
-105845,72,74
-105712,78,74
-105672,67,67
-102807,32,32
-102896,82,84
-102881,70,66
-102889,82,89
-106631,32,84
-106734,77,75
-106519,78,68
-107160,70,70
-107151,68,72
-107135,8,71
-107479,70,69
-108169,66,32
-108176,72,84
-108046,78,186
-107920,70,82
-107535,86,70
-107678,67,78
-104358,67,32
-104455,70,90
-104536,72,188
-104279,32,8
-103231,74,190
-103032,89,84
-103279,186,67
-103649,74,32
-103656,86,68
-103825,32,32
-103792,69,78
-103735,82,84
-103935,66,70
-103822,78,88
-103640,67,190
-103520,66,75
-103559,85,82
-103152,74,68
-103008,75,32
-105055,32,84
-104991,66,66
-104895,66,78
-104888,87,90
-105079,70,89
-105158,80,74
-105510,66,16
-105631,89,71
-104536,70,32
-103073,85,191
-103088,8,16
-103894,74,48
-103486,72,74
-103672,74,85
-104895,32,84
-106207,70,88
-105967,78,74
-106079,89,72
-106063,84,71
-105999,86,32
-107631,186,66
-109560,76,32
-109929,84,66
-109903,89,82
-109823,84,66
-109894,86,89
-110655,32,219
-110424,66,84
-110336,66,78
-110208,87,16
-110302,66,57
-109711,80,32
-108735,74,90
-108477,71,72
-108520,32,70
-108518,67,78
-108239,16,89
-108087,16,84
-107888,16,68
-107552,16,89
-107337,16,66
-107196,16,32
-107511,16,74
-109320,13,85
-109895,13,74
-110262,35,68
-110736,189,74
-111288,37,78
-111494,37,74
-111318,37,85
-110853,37,32
-110696,37,66
-110001,37,32
-109137,37,81
-108907,37,84
-108595,37,75
-108276,37,70
-108093,37,78
-107854,37,84
-107471,37,76
-104768,37,32
-104266,37,16
-104208,37,191
-101940,37,68
-101716,37,74
-101572,37,75
-101302,37,70
-101102,37,66
-100960,37,72
-100801,37,84
-100594,37,78
-100379,37,70
-100710,37,86
-100846,191,32
-101575,66,90
-101512,66,66
-101568,87,89
-101782,70,84
-101878,80,89
-102118,66,70
-102135,86,72
-102048,66,219
-101639,78,8
-101711,71,8
-98023,74,72
-98031,32,67
-97695,81,32
-97744,74,66
-97854,82,32
-97912,67,66
-97759,84,186
-97151,88,70
-97048,66,76
-96599,78,74
-96608,66,72
-96759,75,71
-96071,70,32
-95854,89,16
-96055,70,191
-96983,74,66
-96841,89,82
-96472,89,80
-96383,74,74
-96367,66,68
-96375,87,84
-96432,70,72
-96574,80,84
-96728,66,71
-96183,89,32
-96016,70,16
-96127,85,191
-94895,72,66
-95199,74,82
-96559,32,71
-96398,81,69
-96470,74,82
-96391,89,70
-96399,80,80
-93280,74,32
-92998,68,8
-93303,82,8
-93431,67,8
-95822,32,8
-95287,84,32
-95225,68,16
-95343,74,54
-95496,89,54
-95743,67,54
-95951,74,54
-95655,32,16
-92992,70,90
-92991,89,66
-95440,32,89
-95432,66,84
-95193,86,186
-94929,70,8
-94667,78,79
-94752,70,188
-94607,72,70
-94576,78,89
-94407,70,67
-94527,80,32
-95168,32,84
-95929,66,67
-95888,86,67
-95944,83,84
-95904,89,87
-95839,77,74
-95866,75,72
-96142,70,71
-96104,86,32
-96344,66,68
-95567,89,32
-93928,66,66
-93944,86,86
-93944,32,70
-93936,67,82
-94304,32,74
-98280,84,78
-98624,78,74
-98607,67,71
-98545,84,32
-98560,86,66
-98918,32,86
-98848,86,83
-98647,8,89
-98873,67,77
-98886,74,75
-98863,89,70
-98959,186,66
-99089,69,72
-99097,89,84
-99023,32,78
-98888,68,70
-99153,32,86
-96879,191,32
-96657,16,84
-96465,16,66
-96306,16,89
-96186,16,84
-95893,16,75
-95976,16,68
-96360,90,70
-96319,86,72
-96377,84,71
-96206,72,69
-94142,68,32
-94311,32,84
-94128,84,74
-94375,74,82
-94168,89,67
-94392,186,84
-94407,69,88
-94538,89,8
-94208,32,67
-93169,68,66
-93248,32,85
-93280,191,84
-92928,16,78
-92555,16,70
-92420,16,72
-92237,16,78
-92496,16,67
-92984,70,32
-92847,68,82
-92936,78,70
-93086,67,82
-89375,84,32
-89350,88,77
-89473,70,78
-88831,82,70
-89590,32,68
-89632,74,8
-89128,85,70
-88401,74,66
-88376,89,72
-88656,186,78
-88703,69,70
-88792,89,86
-89153,32,67
-89200,191,67
-89025,16,70
-89160,70,72
-88937,72,32
-88927,70,74
-88960,68,89
-88910,74,186
-88432,78,74
-89063,32,86
-90248,74,32
-90200,85,69
-90183,74,82
-89967,89,66
-90128,186,78
-90256,69,67
-90239,89,66
-90288,32,85
-90312,90,74
-90345,66,75
-88296,89,32
-88160,84,66
-88344,88,66
-88447,84,87
-88206,71,70
-88416,67,80
-88015,84,66
-88192,188,89
-88296,74,70
-89591,32,85
-89343,70,8
-88568,78,72
-88735,89,74
-88665,70,74
-87263,66,32
-85736,72,70
-85648,70,78
-85552,68,89
-86312,32,84
-86417,191,86
-84855,16,186
-83609,86,76
-83456,66,84
-83834,79,89
-84119,190,84
-84247,69,86
-83377,68,32
-83399,78,66
-83481,67,66
-83497,84,87
-83538,79,66
-83664,69,80
-83632,67,74
-84040,32,71
-84026,67,32
-84920,32,16
-85648,190,67
-83368,66,13
-82952,89,13
-82368,84,35
-81481,89,189
-81313,68,37
-80976,70,37
-77737,72,191
-77032,67,66
-77072,32,66
-77009,74,87
-76815,71,70
-77360,32,80
-77127,191,66
-77089,16,86
-77128,8,66
-77152,8,78
-77096,8,71
-76746,8,74
-77464,32,32
-77513,74,81
-77448,71,74
-77359,32,82
-77281,74,67
-77248,85,84
-77136,74,88
-77024,89,66
-77311,68,78
-77490,66,66
-77368,78,75
-77273,82,70
-77209,84,89
-77208,65,70
-74489,65,74
-74624,222,89
-77920,32,89
-77929,84,74
-77879,84,66
-78921,8,87
-79159,89,70
-79177,75,80
-79048,74,66
-79064,188,89
-79305,66,70
-79480,70,85
-79488,89,72
-79256,32,74
-77553,72,32
-77519,74,81
-77488,188,74
-77792,83,89
-77600,68,80
-80641,32,74
-80616,74,68
-80346,78,82
-80792,222,67
-79088,32,32
-79336,8,84
-79328,8,68
-79967,189,74
-79799,189,89
-79584,189,67
-79560,189,74
-80808,189,32
-81192,32,70
-81408,70,89
-78977,82,32
-79129,66,66
-79145,78,86
-79224,67,70
-79192,66,78
-78865,85,70
-78800,74,72
-78815,75,78
-82961,32,70
-83906,90,80
-83426,66,32
-82224,89,66
-82231,84,86
-82160,89,83
-82097,84,89
-82089,86,77
-82176,66,75
-81905,72,70
-81816,71,86
-81593,32,66
-81576,74,89
-81520,85,66
-81520,74,86
-81545,82,32
-81609,67,67
-81232,84,32
-77472,88,84
-77145,66,78
-77128,78,67
-77160,82,84
-77135,70,86
-77023,72,32
-77008,71,86
-79697,32,8
-79512,90,67
-79640,66,74
-79632,89,89
-79417,84,186
-79486,72,69
-79592,80,89
-80199,32,32
-80218,66,68
-79856,82,32
-79641,8,16
-80072,69,191
-79287,88,90
-79304,74,86
-79249,78,84
-79280,32,72
-79305,67,68
-78886,16,32
-78695,16,84
-78305,16,74
-78154,16,89
-77745,16,186
-77482,16,69
-77252,16,89
-77078,16,32
-76911,16,68
-76553,16,32
-76248,16,16
-76202,16,191
-74779,16,70
-74628,16,68
-74349,16,78
-74093,16,67
-73879,16,84
-73559,16,88
-73255,16,70
-73082,16,82
-72202,16,32
-72020,16,74
-71860,16,85
-72192,16,74
-72879,13,89
-72793,13,186
-73720,191,69
-75824,68,89
-75391,74,32
-75399,67,16
-75751,72,191
-75455,69,70
-75600,67,72
-75718,84,70
-75991,72,68
-77585,32,74
-77736,219,78
-78008,83,32
-76617,89,74
-76760,77,85
-76768,75,74
-76888,70,89
-76777,66,186
-76625,72,69
-76535,84,89
-76616,78,32
-76639,70,90
-76560,86,66
-76953,32,89
-76985,66,84
-79120,32,88
-80104,219,84
-80503,83,71
-80247,8,67
-80736,70,84
-80520,68,188
-80784,74,74
-79569,76,32
-79792,69,70
-79840,72,78
-79776,78,89
-79944,32,70
-79936,66,66
-79929,86,72
-80055,70,70
-80224,78,68
-79704,70,32
-79655,72,16
-79839,78,191
-79168,70,86
-79017,80,66
-80168,32,79
-79889,66,190
-79696,86,69
-79825,83,68
-79886,89,78
-80072,77,67
-79992,75,84
-80016,70,79
-79776,86,69
-80032,66,67
-79681,89,32
-79841,66,67
-78984,86,32
-78568,32,190
-78295,67,66
-79256,32,89
-81216,68,84
-81255,8,89
-81473,70,68
-81656,74,70
-81694,67,72
-81680,67,67
-81768,84,32
-82025,87,74
-82127,74,71
-81496,72,32
-81472,71,191
-82414,32,16
-82751,219,8
-83768,83,8
-83792,68,8
-83888,74,8
-83152,82,32
-83480,74,74
-83414,78,71
-83392,74,32
-83416,71,74
-84392,32,85
-85385,66,74
-85376,66,89
-85191,87,68
-85289,70,66
-85552,80,78
-85695,66,82
-85752,89,84
-85929,70,65
-86272,85,65
-86201,72,222
-82961,74,32
-83361,32,84
-83519,81,84
-82648,74,8
-82193,89,89
-82240,77,75
-82168,75,74
-82368,70,188
-82144,89,66
-82032,74,70
-82007,66,89
-82040,87,32
-82271,70,72
-82288,72,74
-84112,32,188
-83840,78,83
-83839,89,68
-80688,84,32
-80689,86,74
-81032,69,78
-80801,72,222
-80103,78,32
-79864,67,8
-79832,89,8
-78976,66,189
-81097,32,189
-81424,8,189
-81361,8,189
-80520,32,189
-80721,189,32
-80328,189,70
-80151,189,82
-79830,189,66
-80032,32,78
-79985,70,67
-79928,82,66
-79992,66,85
-79977,78,74
-80119,67,75
-75976,66,32
-75121,85,90
-74753,74,66
-74728,75,89
-76728,32,84
-76736,66,89
-76712,66,84
-76680,89,86
-76625,70,66
-76648,86,72
-76713,66,71
-76687,89,32
-76721,74,74
-76808,71,85
-76881,32,74
-76848,86,82
-76881,74,67
-76767,82,84
-76631,67,88
-76592,84,66
-76720,88,78
-76744,66,82
-76665,78,70
-76632,82,72
-76671,70,71
-74071,72,32
-73976,71,90
-74967,32,66
-75079,68,89
-74936,16,84
-74600,16,72
-74322,16,80
-73515,16,32
-73365,16,66
-73584,16,82
-74984,13,8
-74992,13,69
-76960,191,88
-77752,190,74
-78854,66,78
-79104,87,32
-79248,70,16
-79593,80,67
-77928,66,13
-77697,86,13
-76783,66,191
-74551,78,68
-74761,71,74
-75112,74,67
-76904,32,72
-76897,219,69
-76961,66,67
-76831,32,84
-76592,70,72
-74793,89,32
-77128,32,219
-76946,219,83
-77256,83,89
-77208,89,77
-77160,89,75
-77056,84,70
-77200,75,66
-77441,84,72
-77576,87,84
-77649,70,78
-77624,89,70
-78712,32,86
-78392,191,32
-78401,16,66
-77122,66,32
-75920,86,219
-75607,70,83
-75560,82,8
-75439,74,70
-75439,78,68
-75072,74,74
-74887,71,76
-75320,32,69
-76304,66,72
-76280,86,78
-76256,83,32
-76368,89,66
-76401,89,86
-76432,74,70
-76344,66,78
-76280,87,70
-76446,70,72
-76416,86,78
-76327,72,70
-76200,74,80
-74824,65,32
-75265,89,66
-75334,66,86
-75368,32,83
-75168,66,89
-75015,32,77
-74945,66,75
-74799,86,70
-74976,83,86
-74880,89,66
-74918,77,89
-74704,75,66
-74824,70,86
-74737,66,32
-74688,72,67
-73841,84,32
-72265,78,68
-72479,70,8
-72104,86,70
-73797,32,74
-73688,90,67
-73680,66,67
-73575,89,84
-73344,84,87
-73464,75,74
-73616,68,72
-73703,70,71
-72936,72,32
-72223,71,219
-71512,69,83
-76479,32,68
-77943,68,74
-78119,74,82
-77846,76,74
-77984,74,78
-77968,78,74
-77961,84,71
-77176,86,32
-77383,32,66
-77465,219,66
-77648,83,87
-77408,89,70
-77263,77,80
-76919,75,66
-76984,70,89
-76769,89,70
-76552,74,85
-76480,66,72
-76550,87,74
-76336,70,32
-76215,72,81
-77055,32,74
-78007,66,89
-77925,82,77
-78112,78,75
-77912,74,70
-77928,188,89
-78135,70,74
-78111,72,66
-78335,80,87
-78191,70,70
-78224,72,72
-82775,32,32
-83087,90,78
-84127,66,89
-84255,85,84
-84214,74,86
-83919,75,69
-83744,74,72
-83824,76,78
-84032,74,67
-83959,78,89
-84177,84,66
-82488,86,32
-85471,32,8
-85672,109,8
-85175,109,32
-84640,109,189
-85352,32,189
-88457,70,189
-88607,82,189
-88599,69,32
-88687,70,70
-88655,89,82
-88625,32,66
-88638,82,78
-88535,70,67
-88494,82,66
-88799,32,85
-89528,70,74
-89529,82,75
-87687,66,32
-87623,78,66
-87711,67,66
-87761,66,89
-87760,85,70
-87711,74,86
-87800,75,66
-88000,16,89
-90352,13,74
-92160,13,71
-95055,191,32
-95657,48,86
-95393,16,74
-95230,16,82
-94950,16,67
-94783,16,84
-94558,16,88
-94304,16,66
-94178,16,78
-93964,16,82
-93730,16,70
-94008,16,72
-94680,78,71
-93544,70,32
-93535,72,68
-93679,78,16
-91846,70,13
-91608,80,13
-89958,32,191
-89175,66,190
-88056,66,66
-87872,87,87
-87895,70,70
-87848,80,80
-87830,66,66
-87831,86,86
-87824,66,66
-87841,89,78
-87615,66,71
-87216,86,74
-87624,57,32
-87354,16,219
-86954,16,66
-86779,16,32
-87088,16,70
-88305,39,89
-85739,39,32
-84956,39,219
-84438,39,83
-84214,39,89
-84086,39,89
-83952,39,84
-83650,39,75
-83227,39,84
-82987,39,87
-82613,39,70
-82438,39,89
-81240,39,32
-81071,39,16
-81024,39,191
-79696,39,66
-79586,39,86
-79372,39,70
-79647,39,82
-79503,8,74
-79941,37,78
-79813,37,74
-79700,37,71
-78806,37,32
-77494,37,66
-77352,37,86
-77088,37,83
-76770,37,89
-76618,37,89
-76386,37,74
-76631,37,66
-81305,32,87
-82489,66,70
-82455,66,86
-82430,87,72
-82622,70,74
-82679,80,65
-82464,66,89
-82343,86,66
-82648,66,32
-82681,78,66
-82745,71,32
-83184,78,66
-83286,74,86
-88784,32,83
-88656,219,89
-88824,66,77
-90047,32,75
-90112,84,70
-90208,68,66
-90294,74,72
-90312,89,84
-90031,67,78
-89848,74,70
-91249,32,86
-89369,70,32
-89393,89,90
-90073,32,66
-91346,66,89
-91369,86,84
-91248,70,75
-91118,82,68
-91351,74,70
-91288,78,72
-91312,74,71
-90984,71,69
-87568,32,32
-85992,66,68
-85760,86,74
-85992,66,76
-85889,82,74
-86097,67,78
-86289,76,84
-86248,190,86
-85184,75,32
-85159,32,219
-84951,66,83
-87423,32,89
-88111,66,77
-88112,86,75
-88215,83,70
-88272,89,89
-88160,89,74
-88224,74,66
-88193,66,87
-87984,87,70
-88135,70,72
-87119,86,32
-86239,72,66
-86168,74,82
-86095,65,78
-86431,89,74
-86447,66,188
-87791,32,70
-88126,191,72
-87912,16,80
-89383,66,70
-89376,86,72
-83250,83,32
-82967,89,90
-81976,77,66
-81833,75,85
-81880,70,74
-81974,66,75
-81824,72,74
-81719,84,76
-81606,78,74
-81624,70,78
-81431,86,84
-82743,32,86
-79679,84,32
-79465,66,109
-79455,89,109
-79446,84,109
-79088,75,32
-76184,68,70
-76214,70,82
-76168,72,69
-76088,71,70
-76232,69,89
-78414,32,32
-78634,8,82
-78999,8,70
-79130,8,82
-78595,8,32
-77707,8,70
-77548,8,82
-77751,8,66
-78272,189,78
-78079,189,67
-77824,189,66
-77617,189,85
-77473,189,74
-77329,189,16
-77329,189,75
-74433,189,13
-72450,189,13
-69235,189,191
-71128,32,16
-71086,70,48
-69656,82,78
-69735,66,70
-69615,78,72
-69719,67,78
-69608,66,70
-69496,85,80
-68943,74,32
-68834,75,66
-68705,16,66
-68548,16,87
-68236,16,70
-67941,16,80
-68009,16,66
-111359,16,86
-111097,16,66
-110936,16,89
-110755,16,66
-110636,16,86
-108397,16,16
-108117,16,57
-106108,16,39
-104758,16,8
-104063,16,37
-98500,16,32
-96804,16,66
-96677,16,66
-96476,16,87
-96120,16,70
-95831,16,80
-95375,16,66
-95265,16,86
-94714,16,66
-94562,16,78
-94363,16,71
-93659,16,78
-93526,16,74
-87807,16,32
-87464,16,219
-87009,16,66
-85698,16,32
-85364,16,84
-84987,16,68
-84732,16,74
-84582,16,89
-84287,16,67
-84119,16,74
-82578,16,32
-82394,16,70
-82265,16,89
-81450,16,32
-79939,16,66
-79825,16,86
-79574,16,70
-79409,16,82
-78954,16,74
-78819,16,78
-78683,16,74
-78557,16,71
-76869,16,32
-76644,16,66
-76503,16,86
-76049,16,66
-75874,16,82
-75554,16,67
-75218,16,76
-75035,16,190
-74677,16,75
-74453,16,32
-74304,16,66
-71663,16,32
-70649,16,66
-70537,16,86
-70277,16,83
-70034,16,89
-69902,16,89
-69693,16,74
-69486,16,66
-69287,16,87
-68976,16,70
-68824,16,86
-68586,16,72
-68443,16,74
-68680,16,65
-69777,13,89
-71505,13,66
-71233,191,32
-71688,66,16
-71800,86,191
-70009,70,66
-70111,88,86
-70009,70,83
-70016,72,89
-70160,68,77
-70392,189,75
-70240,189,70
-70370,76,66
-70728,90,72
-70840,72,84
-70872,69,78
-71008,70,70
-71064,80,86
-70001,32,32
-69968,83,84
-70034,89,66
-70040,84,89
-70296,79,84
-70841,69,75
-70889,71,68
-72601,83,70
-72568,68,72
-72840,32,71
-72696,66,69
-70600,75,32
-70424,83,8
-70136,188,8
-71640,32,8
-70624,81,189
-70825,66,189
-71003,89,189
-71232,84,189
-71586,76,189
-72383,84,189
-72654,68,189
-73326,70,189
-73615,80,189
-74198,32,189
-72097,219,32
-72649,83,70
-72656,89,82
-73073,188,66
-73272,84,78
-73760,88,67
-73801,69,66
-76216,32,85
-76289,39,74
-76600,39,16
-76792,8,75
-33080,37,16
-29721,219,13
-28431,78,13
-26951,66,191
-26280,82,66
-26335,67,86
-26298,89,70
-26271,66,88
-26207,87,70
-26544,66,72
-26616,76,68
-26489,84,189
-26865,86,189
-28127,32,76
-27944,219,90
-28104,66,72
-28079,73,69
-28456,67,70
-28505,83,80
-28048,68,32
-30095,32,83
-30064,68,89
-30097,74,84
-29935,67,79
-29360,72,69
-29264,69,71
-27535,82,83
-28528,32,68
-28328,219,32
-28512,66,66
-28625,73,75
-29064,72,83
-28962,70,188
-27249,78,32
-27185,67,81
-29560,32,66
-29616,83,89
-29560,78,84
-29440,89,76
-28831,84,84
-28847,76,68
-28664,69,70
-28775,78,80
-28416,67,32
-28960,32,219
-29112,81,83
-29239,74,89
-28727,89,188
-28751,81,84
-28280,74,88
-28112,68,69
-26640,32,32
-26641,81,39
-26624,74,39
-26184,89,8
-25897,89,37
-25177,84,219
-24776,68,66
-25056,78,78
-25154,67,82
-25001,84,67
-25064,88,89
-25199,84,66
-25353,78,87
-25241,74,66
-25183,16,76
-25735,32,84
-25616,81,86
-24399,74,32
-24271,82,219
-24256,66,66
-24480,75,73
-24144,84,67
-24096,68,83
-24153,16,68
-22095,32,32
-22022,67,68
-23185,32,74
-23159,66,67
-23201,80,72
-23408,90,69
-23481,68,82
-22481,67,32
-22832,32,219
-22584,68,66
-24113,39,73
-23450,39,72
-23283,39,70
-23067,39,78
-22917,39,67
-20326,39,32
-20111,39,83
-19920,39,78
-19713,39,89
-19577,39,84
-19177,39,76
-18772,39,69
-18357,39,78
-18625,39,67
-18113,46,32
-17376,39,81
-17256,32,74
-17232,37,89
-17591,37,81
-17479,32,74
-17577,37,68
-16686,37,32
-16510,37,81
-16288,37,74
-16152,37,89
-16035,37,89
-15899,37,84
-15627,37,68
-15832,37,78
-16880,32,67
-19736,69,84
-19849,76,88
-19648,74,84
-19472,85,78
-19391,32,16
-19632,49,74
-19112,52,32
-19249,57,81
-19200,49,74
-19535,68,82
-19368,16,66
-19321,13,75
-20600,72,84
-21665,67,68
-21808,67,16
-21497,67,32
-21655,16,67
-20896,32,32
-20856,68,66
-20752,32,80
-20511,66,90
-20442,88,68
-20574,70,67
-20272,72,32
-20352,68,68
-19959,76,39
-19351,90,46
-19463,72,39
-19544,69,32
-19760,70,37
-19344,80,37
-19252,16,32
-19069,16,37
-18788,16,37
-16974,16,32
-13951,16,69
-13537,16,76
-13338,16,74
-13196,16,85
-12899,16,32
-12589,16,49
-11805,16,52
-11415,16,57
-11080,16,49
-10632,16,16
-10610,16,68
-9996,16,13
-8612,16,16
-8774,16,72
-8081,13,67
-8560,13,67
-10631,191,67
-11343,72,32
-11640,67,68
-11896,65,32
-12543,67,66
-12593,72,88
-12266,16,70
-12057,16,72
-11834,16,68
-10267,16,76
-9869,16,90
-10152,16,72
-10855,32,69
-10752,86,70
-10688,70,16
-10766,75,80
-9456,84,13
-9418,76,13
-7368,32,191
-6231,86,16
-6192,83,72
-6056,89,67
-5728,89,65
-5047,84,67
-5177,74,72
-3649,68,32
-5103,32,86
-5103,74,70
-5000,71,75
-5439,32,84
-6224,70,76
-6160,78,32
-6521,70,86
-6407,66,83
-6248,72,89
-6311,70,89
-6425,67,84
-6191,67,74
-6384,66,68
-4896,86,32
-5030,74,74
-5057,82,71
-6137,32,32
-5136,74,70
-4991,85,78
-4623,74,70
-4575,89,66
-4729,76,72
-4792,74,70
-4664,72,67
-4744,70,67
-4672,89,66
-4815,16,86
-5648,32,74
-5591,86,82
-4217,74,32
-4287,80,74
-4791,70,85
-4824,82,74
-5136,66,89
-4968,72,76
-4855,71,74
-6416,32,72
-6489,70,70
-6688,76,16
