timedelta,down,up
-2328,67,16
-1336,72,32
-1328,84,84
-1472,68,78
-1384,66,84
-1416,89,78
-1208,69,66
-1311,16,67
-2296,32,72
-2248,68,84
-2176,32,68
-2192,69,66
-2136,76,89
-2144,74,69
-2280,85,16
-2128,32,32
-2176,53,68
-2248,56,32
-3496,57,69
-3488,49,76
-3880,32,74
-3856,68,85
-2856,16,32
-2849,32,53
-2784,191,56
-2096,66,57
-2096,72,49
-1664,69,32
-1711,67,68
-1848,67,16
-4576,66,32
-4592,8,191
-5232,78,66
-5392,86,72
-5275,16,69
-5108,16,67
-5440,16,67
-2792,32,66
-2840,84,8
-1480,78,78
-1336,84,86
-1392,78,16
-816,66,32
-824,67,84
-871,72,78
-880,84,84
-984,68,78
-808,66,66
-800,89,67
-824,69,72
-856,16,84
-720,32,68
-792,68,66
-1800,32,89
-1768,70,69
-1854,72,16
-1688,74,32
-1799,67,68
-752,67,32
-848,84,70
-1000,65,72
-1080,74,74
-1088,72,67
-1071,71,67
-2057,32,84
-1904,86,65
-1840,74,74
-1801,82,72
-1791,66,71
-736,89,32
-808,79,86
-1104,74,74
-1050,86,82
-1136,74,66
-1096,71,89
-1193,32,79
-2200,69,74
-2215,72,86
-2318,84,74
-2191,77,71
-2112,72,32
-727,70,69
-751,82,72
-743,32,84
-791,190,77
-712,69,72
-856,82,70
-888,67,82
-1042,84,32
-1130,88,190
-1377,66,69
-1354,86,82
-1354,84,67
-1248,76,84
-1208,70,88
-976,82,66
-1032,70,86
-2040,32,84
-2072,190,76
-2112,74,70
-2040,68,82
-2032,67,70
-4152,32,32
-4088,78,190
-3944,84,74
-4016,70,68
-3944,89,67
-776,66,32
-792,88,78
-880,70,84
-1240,89,70
-1560,32,89
-1496,69,66
-1528,76,88
-1440,74,70
-1064,85,89
-776,32,32
-784,84,69
-792,186,76
-1016,32,74
-968,86,85
-936,74,32
-984,78,84
-1000,32,186
-839,68,32
-880,16,86
-2168,32,74
-2264,191,78
-2416,8,32
-2983,39,68
-3088,39,16
-1744,39,32
-1617,39,191
-1520,39,8
-1048,39,39
-1048,39,39
-1056,39,39
-1040,39,39
-1033,39,39
-1032,39,39
-1944,73,39
-2096,8,39
-2160,37,39
-2584,37,39
-2584,37,39
-1621,37,73
-1326,37,8
-1159,37,37
-568,37,37
-417,37,37
-178,37,37
2949,37,32
3076,37,89
2720,37,74
319,32,81
512,89,70
488,74,85
464,81,74
208,70,16
625,85,32
664,74,70
576,16,78
360,32,70
496,70,78
600,78,16
352,70,73
2713,78,32
2712,73,84
2360,16,78
312,32,84
227,84,78
368,78,66
440,84,67
612,78,72
465,66,84
440,67,68
344,72,66
368,84,89
416,68,69
376,66,16
785,89,32
649,69,68
1972,16,32
1627,32,66
1752,68,66
464,32,85
479,66,74
449,66,75
440,85,74
473,74,219
487,75,66
480,74,67
448,219,71
592,66,32
472,67,74
407,71,71
256,32,8
488,74,74
1719,71,32
1648,8,77
1584,74,89
375,32,84
608,77,84
529,89,78
519,84,67
959,84,32
984,78,190
984,67,69
368,32,82
455,190,67
513,69,72
904,82,74
839,67,78
823,72,82
273,74,74
239,78,76
312,82,32
265,74,78
312,76,84
304,32,70
440,78,88
809,84,69
711,70,75
703,88,74
319,69,71
2737,75,32
2673,74,69
2712,71,76
385,32,74
393,69,85
1105,76,32
1121,74,55
1128,85,55
449,32,57
720,55,49
1696,55,32
1608,57,68
1184,49,16
305,32,8
656,68,16
856,16,226
992,8,32
689,16,191
880,226,69
648,32,76
376,191,74
408,69,85
392,76,32
352,74,51
392,85,55
752,32,57
848,51,49
872,55,32
504,57,68
1128,49,32
1072,32,84
1008,68,78
272,32,84
208,84,78
328,78,66
409,84,67
448,78,72
376,66,84
344,67,68
296,72,66
352,84,89
264,68,69
1784,66,32
1712,89,86
1816,69,74
336,32,82
400,86,67
1056,74,89
1096,82,66
1072,67,85
376,89,72
465,66,8
632,85,85
656,72,66
496,8,16
248,85,68
368,66,32
384,68,68
1720,16,32
1696,32,66
1713,68,66
353,32,85
320,66,74
296,66,75
344,85,74
416,74,219
472,75,66
503,74,67
504,219,71
768,66,32
632,67,66
1832,71,32
1504,32,82
1544,66,69
400,32,70
417,82,89
360,69,32
335,70,219
704,89,66
792,32,82
848,219,67
608,66,84
608,82,88
560,67,66
480,84,78
1768,88,66
1776,66,75
1816,78,74
376,66,71
1512,75,32
1440,74,70
1400,71,72
232,32,68
336,70,70
352,72,75
328,68,70
328,70,82
376,75,70
1040,70,188
1064,82,32
976,70,77
408,188,89
352,32,84
408,77,71
408,89,84
416,84,78
360,71,67
6008,84,32
5976,78,75
6128,67,66
520,32,88
1800,75,69
1624,66,75
1576,88,74
312,69,71
248,75,16
776,74,13
1096,71,191
1304,16,8
1048,13,16
2552,191,16
2152,8,54
2336,16,90
792,54,66
800,16,65
448,90,70
384,66,72
448,65,85
400,70,74
392,72,66
440,85,188
296,74,16
520,66,16
1192,188,13
1184,16,13
2244,16,191
2471,16,74
2790,16,8
3269,16,75
4404,16,8
4840,16,74
4648,13,81
4648,13,70
3692,191,85
3552,74,16
3160,8,74
2865,75,32
1832,8,70
1072,74,78
1056,81,70
936,70,78
1135,85,73
880,74,16
1176,16,32
1191,32,70
1192,70,78
1192,78,84
1208,70,78
1368,78,66
1352,73,67
1344,16,72
1152,32,84
1240,70,68
1240,78,66
1296,84,89
1376,78,69
1120,66,16
3136,67,32
3104,72,72
3215,84,74
3232,68,67
3264,66,67
3328,89,84
3456,69,65
3713,16,74
1856,32,72
1888,72,16
1664,74,71
2881,67,32
3712,67,191
5472,84,90
5280,65,66
4977,74,89
4985,72,84
4968,71,76
4935,16,186
3952,32,84
3232,191,188
1313,90,69
1720,66,32
1689,89,66
1680,84,32
1680,76,82
1639,186,74
1439,84,68
1409,188,74
1449,69,89
1032,32,70
1073,66,78
1040,32,67
1169,82,69
17320,74,32
17376,68,66
17409,74,66
17344,89,85
17344,70,74
17336,78,75
17344,67,74
17265,69,219
1112,32,66
1328,66,67
1384,66,71
2288,85,32
2184,74,66
2216,75,78
2376,74,67
2632,219,70
2608,66,75
2521,67,188
2448,71,74
1576,32,32
1592,66,68
1584,78,8
1616,67,32
