down,timedelta,up
70,-32351,32
80,-32359,70
32,-32530,78
66,-32426,84
32,-32298,68
83,-32177,74
76,-32368,16
70,-32569,67
72,-32032,32
85,-32120,74
70,-32384,85
89,-32377,74
16,-32495,89
13,-33897,68
191,-36993,74
70,-36705,219
76,-36760,72
74,-36873,84
85,-36825,68
32,-37121,16
48,-36818,32
8,-36897,70
57,-37153,86
57,-37737,69
57,-37393,66
49,-37521,76
32,-38080,66
70,-38009,80
78,-37568,84
72,-37528,72
70,-37520,71
86,-37697,16
32,-37353,32
50,-37278,80
50,-37223,70
32,-38177,82
90,-38247,16
67,-38873,69
75,-38687,16
70,-39023,57
88,-38912,32
89,-38473,70
74,-38325,80
82,-38170,190
67,-38209,8
16,-37721,188
32,-37752,74
191,-37864,67
84,-39001,32
68,-39512,74
82,-39592,85
67,-39711,74
74,-39864,82
86,-39656,67
16,-39777,78
32,-39899,8
84,-39585,67
74,-39824,84
72,-39785,68
84,-39480,74
85,-39529,67
189,-39992,16
84,-39576,32
76,-39656,81
74,-39647,74
72,-39633,72
74,-39761,84
85,-39712,85
32,-40505,16
68,-39953,32
32,-40801,84
75,-40704,66
66,-40761,89
186,-40882,70
16,-40954,68
32,-41097,8
191,-40601,70
84,-41020,80
67,-41297,16
70,-41169,189
71,-39689,13
70,-36032,13
80,-34649,90
8,-34480,66
67,-34729,89
32,-34777,70
68,-34864,68
32,-36975,8
189,-36777,70
32,-37625,80
89,-37535,32
66,-37600,66
85,-37614,32
69,-37718,83
75,-37672,76
90,-37705,70
16,-37839,72
32,-37985,85
191,-37928,70
68,-37935,89
16,-38144,16
32,-36567,13
16,-33662,191
191,-33576,70
71,-33480,76
16,-33689,74
32,-34471,85
82,-34359,32
66,-34576,48
89,-34360,8
68,-33944,57
74,-33464,57
82,-33500,57
75,-33536,49
74,-32821,32
71,-32791,70
76,-33137,78
74,-33576,72
71,-33616,70
32,-33760,86
70,-33391,32
76,-33479,50
74,-33617,50
85,-32720,32
32,-32617,90
57,-32247,67
54,-32112,75
57,-33920,70
49,-34016,88
32,-34001,89
67,-34009,74
16,-33860,82
16,-33598,16
16,-33623,67
16,-33278,32
16,-32993,191
16,-31632,84
16,-31082,68
16,-30795,82
16,-30526,67
16,-30294,74
16,-30657,16
13,-31072,86
191,-31129,32
70,-31290,84
76,-30752,74
90,-30881,72
72,-30817,84
78,-30975,85
74,-30664,189
32,-31049,84
74,-30889,76
85,-30767,74
74,-30776,72
89,-30607,74
77,-30671,85
75,-30023,32
84,-29991,68
78,-29166,32
66,-29263,75
74,-29344,66
72,-29184,186
78,-29360,16
67,-29079,32
189,-29147,191
74,-28950,84
89,-28878,67
89,-28710,70
84,-28657,71
74,-28599,70
68,-28613,80
32,-30719,8
86,-30495,67
74,-30656,32
72,-30640,68
66,-28647,32
76,-28767,189
89,-28121,32
70,-28192,89
86,-28145,66
74,-28216,85
82,-28112,69
32,-28559,75
75,-28609,90
83,-28790,16
188,-28207,32
16,-27927,191
32,-28033,16
191,-28247,68
86,-28727,32
69,-28951,16
82,-28704,191
66,-28719,16
89,-28887,71
219,-27759,32
84,-27815,82
78,-27296,66
32,-27343,89
81,-27333,68
83,-27191,74
89,-27278,82
77,-27279,75
75,-27270,74
84,-27368,71
