timedelta,down,up
-6963,32,84
-6350,75,20
-6659,8,75
-5006,78,32
-5096,66,86
-4882,88,74
-5095,69,68
-4836,75,78
-4854,74,67
-4578,71,76
-5950,32,74
-6040,84,68
-5940,66,74
-5915,89,82
-5917,70,69
-5658,68,72
-5343,74,32
-5398,80,76
-6479,70,74
-6569,72,71
-6558,188,32
-6704,74,75
-6749,32,8
-6378,84,78
-6266,74,66
-6265,89,88
-6108,89,69
-6063,84,75
-6119,68,74
-6086,78,71
-4724,67,32
-5253,84,84
-5332,186,66
-5456,74,89
-5500,76,70
-5579,69,68
-5523,219,74
-5950,32,80
-4567,84,70
-4533,74,72
-4387,89,188
-4364,77,74
-4105,75,32
-4521,70,84
-4488,8,74
-4555,8,89
-4712,70,89
-4769,88,84
-5793,88,68
-5872,70,78
-5838,89,67
-5388,74,84
-5253,68,186
-5230,72,74
-5332,84,76
-5287,71,69
-5204,20,219
-5737,13,32
-7447,90,84
-7571,66,74
-7582,65,89
-7548,70,77
-7548,72,75
-7087,85,70
-7424,8,8
-7650,89,8
-7537,74,70
-7570,66,88
-6704,188,88
-6498,20,70
-6704,13,89
-7064,13,74
-7784,190,68
-8617,84,72
-8572,186,84
-9014,66,71
-9050,72,20
-7830,70,13
-7104,71,20
-6251,20,90
-6390,32,66
-6513,68,65
-6513,32,70
-6558,75,72
-6727,70,85
-6502,78,8
-6220,72,89
-6220,70,74
-6165,68,66
-6097,82,188
-5927,32,13
-5410,66,13
-5315,32,190
-4432,77,84
-4487,76,186
-4462,70,66
-4679,79,72
-5028,74,70
-4911,75,20
-5028,71,71
-5148,20,32
-5230,32,68
-5186,83,32
-5511,89,75
-5467,70,70
-5332,68,78
-5321,80,72
-5759,70,70
-5827,89,68
-5816,32,82
-5758,86,32
-6018,84,66
-5376,89,32
-5423,84,77
-5432,86,76
-5387,66,70
-5365,32,79
-5027,74,74
-5112,85,75
-5185,84,71
-4862,20,20
-4567,32,32
-4488,190,83
-5501,72,89
-5432,74,70
-5444,78,68
-5421,71,80
-5377,77,70
-5456,75,89
-5568,69,32
-5567,82,86
-5500,67,84
-5545,32,89
-5612,81,84
-5669,66,86
-5275,82,66
-5264,67,32
-5319,80,74
-5837,69,85
-7092,87,20
-7526,89,84
-7401,70,32
-7356,72,190
-5928,65,72
-7852,32,74
-7908,81,78
-8099,66,71
-7671,89,77
-7616,89,75
-7492,74,69
-7480,72,82
-7401,74,67
-7278,78,32
-7267,67,81
-7166,74,66
-7120,89,82
-7255,80,67
-7267,8,80
-7177,67,69
-6052,70,87
-5636,72,89
-6367,32,70
-6351,189,72
-6401,32,65
-4645,48,32
-4803,16,81
-5242,84,66
-5590,186,89
-5501,32,89
-5523,86,74
-5624,70,72
-5815,78,74
-5939,32,78
-5962,188,67
-5907,16,74
-6434,53,89
-7109,56,80
-7334,55,8
-7188,49,67
-7357,32,70
-7446,70,72
-7233,78,32
-7322,67,189
-7763,69,32
-7761,85,16
-8088,68,48
-7255,70,84
-7075,32,186
-7188,50,32
-7075,50,86
-7964,32,70
-7605,189,78
-7593,32,32
-7772,186,16
-8718,66,188
-7930,72,53
-6963,70,56
-6705,71,55
-6272,20,49
-6164,32,32
-6097,188,70
-5579,16,78
-6817,52,67
-6411,49,69
-7042,8,85
-6816,8,68
-6749,8,70
-8042,52,32
-8031,49,50
-8268,32,50
-7424,55,32
-8245,49,189
-8448,32,32
-9798,90,186
-9043,72,66
-9719,70,72
-9809,68,70
-9793,89,20
-10496,90,71
-10394,32,32
-10473,54,16
-10552,50,188
-9652,32,52
-10146,186,49
-9461,16,8
-9743,17,8
-10912,69,8
-9944,76,52
-9955,76,32
-10293,65,49
-10282,71,55
-10406,73,49
-10821,80,32
-9351,20,90
-9483,32,72
-9753,69,70
-10034,84,68
-11395,83,89
-11755,73,90
-12565,84,32
-13072,80,54
-13173,8,50
-14096,84,32
-14376,65,16
-14467,66,186
-14014,20,17
-12891,189,69
-13544,78,76
-13533,65,76
-13949,69,65
-14758,74,71
-14216,20,73
-14070,17,20
-15209,32,80
-15288,190,32
-14691,72,69
-14422,65,84
-14714,57,83
-14130,16,73
-13420,32,84
-13061,77,80
-12982,75,8
-12442,70,84
-11857,85,65
-12060,66,20
-12262,71,66
-12450,20,189
-11756,32,78
-11992,78,65
-11350,67,69
-10717,66,20
-10336,78,74
-9493,70,17
-8864,188,32
-8501,20,190
-8482,189,72
-8707,8,65
-8144,32,16
-8222,89,57
-7615,70,32
-7548,186,77
-7430,20,75
-14658,13,70
-16379,13,85
-21498,189,66
-21685,32,20
-22385,66,71
-21368,66,32
-21284,76,78
-21465,84,67
-21318,71,66
-21476,66,78
-21464,82,70
-21156,66,20
-21250,68,188
-20752,20,189
-20755,32,8
-19787,39,32
-20092,37,89
-20315,37,70
-20091,37,20
-20145,37,186
-12028,37,13
-10244,37,13
-4758,37,189
-4484,37,32
-3814,37,66
-3839,37,66
-3554,37,76
-3355,37,84
-3633,37,71
-3566,37,66
-3661,37,82
-3847,37,66
-3913,37,68
-3981,37,20
-3777,37,32
-3613,37,39
-3111,37,37
-2835,37,37
-1444,37,37
-1709,37,37
-3487,66,37
-178,66,66
-381,76,66
-213,84,76
-269,71,84
-428,74,71
-156,75,74
-335,82,75
-539,66,82
-179,87,66
-562,89,87
-325,222,89
-595,8,222
-1237,186,8
-258,32,186
-280,81,32
-392,74,81
-168,89,74
-384,76,89
-280,74,76
-235,188,74
-404,74,188
-191,68,74
-202,67,68
-302,32,67
-246,80,32
-1968,8,80
-190,8,8
-405,80,8
-910,219,80
-359,66,219
-201,32,66
-224,75,32
-280,70,75
-404,66,70
-157,72,66
-202,84,72
-708,8,84
-224,8,8
-697,66,8
-168,72,66
-314,78,72
-224,70,78
-258,8,70
-527,84,8
-460,86,84
-187,20,86
-737,13,20
-550,190,13
-180,89,190
-2361,84,89
-471,72,84
-213,85,72
-236,84,85
-134,75,84
-202,75,75
-370,70,75
-297,20,70
-1456,32,20
-269,81,32
-382,84,81
-314,66,84
-213,75,66
-1086,66,75
-156,86,66
-460,70,86
-775,65,70
-562,32,65
-190,67,32
-247,32,67
-213,219,32
-370,90,219
-280,76,90
-281,190,76
-269,75,190
-382,32,75
-201,219,32
-360,66,219
-247,85,66
-224,69,85
-393,72,69
-281,76,72
-325,32,76
-213,74,32
-483,32,74
-235,66,32
-1056,77,66
-225,78,77
-302,70,78
-348,78,70
-168,67,78
-371,32,67
-179,77,32
-167,78,77
-180,67,78
-370,84,67
-707,32,84
-528,66,32
-246,66,66
-437,76,66
-899,84,76
-190,71,84
-708,66,71
-124,82,66
-437,66,82
-258,68,66
-188,20,68
-444,32,20
-292,68,32
-153,20,68
-343,13,20
-5613,13,13
-877,82,13
-202,66,82
-167,89,66
-682,186,89
-370,74,186
-168,76,74
-225,69,76
-562,219,69
-247,32,219
-235,188,32
-236,16,16
-2564,72,188
-179,74,72
-1102,8,74
-245,8,8
-1619,72,8
-145,74,72
-223,78,74
-617,71,78
-348,77,71
-235,75,77
-235,69,75
-213,82,69
-393,67,82
-1147,32,67
-180,189,32
-191,32,189
-360,72,32
-157,89,72
-292,8,89
-471,72,8
-336,70,72
-303,186,70
-173,20,20
-585,13,186
-1529,90,13
-258,66,90
-156,87,66
-551,89,87
-168,70,89
-247,72,70
-302,65,72
-232,20,65
-501,32,20
-134,189,32
-258,32,189
-775,74,32
-168,68,74
-236,78,68
-269,67,78
-315,89,67
-303,70,89
-315,76,70
-180,76,76
-550,74,76
-642,71,74
-166,20,71
-309,8,20
-517,71,8
-404,8,71
-482,72,8
-139,20,20
-1293,13,72
-1653,39,13
-730,70,39
-190,76,70
-235,74,76
-258,85,74
-325,32,85
-247,52,32
-281,56,52
-1282,37,56
-652,48,37
-156,57,16
-259,16,48
-449,32,57
-1079,53,32
-640,57,53
-640,55,57
-269,49,55
-629,32,49
-291,90,32
-628,75,90
-415,84,75
-202,72,84
-202,71,72
-156,70,71
-359,32,70
-719,55,32
-212,49,55
-798,32,49
-190,189,32
-235,32,189
-1440,66,32
-190,78,66
-269,72,78
-494,84,72
-539,86,84
-303,67,86
-348,32,67
-202,70,32
-168,78,70
-179,70,78
-303,76,70
-188,20,76
-646,13,20
-1169,186,13
-539,66,186
-180,72,66
-145,70,72
-303,71,70
-131,20,71
-297,32,20
-168,189,32
-190,32,189
-280,90,32
-326,66,90
-157,89,66
-180,84,89
-235,76,84
-1596,186,76
-292,74,186
-145,72,74
-584,32,72
-303,74,32
-201,78,74
-236,67,78
-786,84,67
-404,86,84
-248,20,86
-1209,13,20
-708,70,13
-820,76,70
-258,74,76
-213,85,74
-708,32,85
-269,48,32
-168,49,48
-663,55,49
-685,49,55
-2430,32,49
-190,90,32
-213,72,90
-483,188,72
-303,90,188
-212,78,90
-225,82,78
-403,74,82
-224,32,74
-247,49,32
-247,49,49
-606,32,49
-225,189,32
-179,32,189
-2529,90,32
-382,66,90
-235,89,66
-236,84,89
-359,76,84
-326,186,76
-348,74,186
-180,72,74
-269,32,72
-291,70,32
-168,78,70
-202,70,78
-258,76,70
-161,20,20
-663,8,76
-247,8,8
-95,8,8
1902,8,32
1976,8,189
1982,8,32
3248,8,90
3322,8,66
4531,8,8
5021,8,66
5016,8,89
5066,8,84
5208,8,76
5293,8,186
7111,8,74
7072,8,72
6762,8,32
6336,32,74
6301,189,78
6436,32,67
5232,90,84
5382,66,20
4096,8,86
4129,66,13
4624,89,13
13906,84,66
13782,76,82
13849,186,75
12038,74,83
12071,72,67
12173,32,67
12196,74,13
18800,78,74
18800,67,68
18823,84,78
18563,86,67
18203,13,84
17900,13,88
8685,66,72
8798,82,74
8698,75,68
9294,83,8
9317,67,8
9283,67,8
9395,13,88
2813,74,72
3184,68,74
3432,78,78
3793,67,13
7246,84,90
7189,88,66
7066,72,65
7189,74,70
7133,68,72
6447,8,85
6515,8,74
6514,8,66
6694,88,188
7302,72,13
13647,74,66
13445,78,66
13063,13,87
9597,90,89
9541,66,70
9642,65,72
9642,70,65
9545,72,20
9856,85,32
9856,74,68
10486,66,84
10148,188,84
10299,20,80
10317,13,69
3635,66,86
3815,66,32
3826,87,219
3825,89,8
4265,70,32
4174,72,90
4095,65,66
4166,20,87
5457,32,82
5637,68,84
5997,84,75
5963,84,75
5615,80,74
5255,69,82
7415,86,32
7199,32,68
7268,219,32
7133,8,70
6729,32,89
6853,90,84
7044,66,72
7202,87,85
6009,82,84
5784,84,75
4872,75,75
4928,75,70
4731,74,20
5536,82,32
3309,32,90
3523,68,75
3668,32,222
3961,70,66
3961,89,72
3961,84,188
3758,72,70
3650,85,20
3376,84,85
3545,75,32
3545,75,70
3354,70,65
3896,20,74
3286,32,78
3343,90,67
3287,75,66
3027,222,72
2745,66,82
2705,72,20
2926,188,32
3242,70,90
3500,85,66
3536,20,89
3421,32,84
3398,70,76
4006,65,84
3398,74,68
3556,78,80
3545,67,8
3803,66,219
4062,72,66
4400,82,74
4336,20,72
4096,32,71
3571,90,20
3432,66,32
3556,89,189
3634,84,13
4253,76,8
3691,84,8
4366,68,189
4906,80,13
8619,8,13
8877,219,190
9507,66,69
9012,74,82
10362,72,66
10284,71,78
10591,20,70
10385,32,86
10497,189,84
10396,13,78
9800,8,32
9676,8,190
9305,189,69
8708,13,82
5041,13,67
4614,190,84
3826,69,88
3996,82,66
2836,66,85
3039,78,74
2848,70,75
2938,86,74
2735,84,65
3477,78,66
3410,32,86
3455,190,32
3151,69,70
3229,82,89
3049,67,32
3151,84,83
3826,88,89
3735,66,66
3626,85,78
3533,74,72
3578,75,70
3533,74,82
3623,65,32
2926,66,66
3297,86,8
3376,32,8
3916,70,32
3950,89,86
3964,32,32
5131,83,66
4298,89,186
4714,66,70
4861,78,80
5345,72,81
5457,70,84
5716,82,71
5727,32,32
5715,66,84
5379,8,186
5198,8,32
4715,32,82
4951,86,8
5221,32,32
4005,186,8
4479,66,76
3905,70,70
3848,80,78
3309,81,32
3061,84,75
2949,71,70
2903,32,67
2903,84,66
2909,186,20
2825,32,71
3027,82,13
3004,8,13
3882,32,190
4411,8,39
4107,76,51
4974,70,8
5896,78,52
6019,32,53
6200,75,55
7043,70,49
7178,67,37
7672,66,48
7494,71,16
7508,20,57
7854,13,32
7921,13,84
6988,190,85
6998,39,72
7156,51,69
6267,8,188
5850,52,8
6448,53,8
6313,55,8
5806,49,84
5652,37,188
5423,48,78
5446,57,67
5635,16,70
5503,32,72
5356,84,78
5008,85,67
4236,72,20
4209,69,32
4231,188,68
4039,8,32
3533,8,90
4108,8,84
3713,84,75
3719,188,74
3601,78,80
3635,67,68
3781,70,70
3466,72,86
3466,78,32
3432,67,90
3492,20,75
3330,32,76
3578,68,32
4985,32,82
4940,90,8
4827,84,84
4839,75,66
4681,74,89
4771,80,78
4669,68,90
4445,70,86
4636,86,70
4580,32,71
4580,90,32
4557,75,66
4658,76,32
4748,32,39
3578,82,190
3714,8,85
3253,84,32
4366,66,53
4703,89,54
4906,78,55
5514,90,49
6256,86,32
6110,70,68
6560,71,32
6638,32,89
6672,66,84
7122,32,88
7190,39,89
6661,190,74
6267,85,82
6233,32,70
5109,53,80
5243,54,37
5447,55,16
4681,49,48
3860,32,57
4277,68,32
5592,32,17
8067,89,86
8023,84,88
8417,88,17
11679,89,32
12737,74,70
12725,82,82
12871,70,66
12781,80,68
12533,37,74
12128,48,76
12364,57,190
12210,16,20
12063,32,75
10702,0,32
11125,17,82
8709,86,66
8687,88,89
8678,20,78
8185,0,90
8122,17,86
7485,20,70
4906,32,71
3758,70,32
3658,82,16
3556,66,188
6121,68,66
5941,74,78
5863,76,67
5671,190,74
5570,75,89
5719,20,78
5401,32,67
4806,82,70
4816,66,88
5098,89,32
4974,78,68
4996,90,32
4883,86,16
4681,70,188
5244,71,86
5570,32,84
6582,188,75
6671,16,75
4602,66,70
4849,78,85
6323,67,66
6351,74,20
6323,89,71
6413,78,32
6560,67,86
7685,70,74
7583,88,78
7595,32,67
7651,68,66
7617,32,78
7808,188,70
7753,16,20
7381,86,188
7247,84,189
6976,75,86
7116,75,74
6686,70,89
6515,85,70
5089,66,20
4939,71,186
5212,20,8
5333,32,222
6043,86,32
5459,74,86
5776,78,74
5491,67,72
5705,66,74
5657,78,78
5783,70,71
5929,188,77
6001,20,75
6087,189,69
5367,86,82
5289,74,67
5468,89,32
7291,70,86
7246,186,74
7044,8,82
6943,222,66
6697,20,89
6346,32,89
5705,86,84
5356,74,68
5469,72,78
5209,74,67
5356,78,76
5120,71,74
4873,77,72
5356,75,32
5108,69,86
5289,82,66
5457,67,74
5300,32,68
3353,86,67
3365,74,8
3589,82,68
3634,66,32
3635,89,74
3544,89,67
3859,84,32
5704,68,74
5671,78,89
5772,67,78
5648,76,67
5739,74,84
5806,72,86
5491,32,68
6245,86,74
5941,66,67
5851,74,32
5929,68,75
6234,67,66
6166,8,68
5929,68,78
5727,32,67
5863,74,84
5964,67,79
5716,32,69
3904,74,67
3927,89,74
4625,78,32
5344,67,78
5220,84,74
5199,86,188
5030,68,70
4377,74,72
4399,67,32
4220,32,76
4186,75,90
4167,66,20
4141,68,72
4321,78,13
10081,67,13
10407,84,67
10408,79,67
10542,69,66
10418,67,87
10902,74,8
10418,32,66
9597,78,72
9620,74,70
9647,188,20
9563,70,89
10148,72,32
10194,32,189
10542,76,13
11003,90,39
11105,72,40
11222,20,40
11387,13,8
5896,13,39
5908,67,37
5885,67,37
5805,66,37
6706,87,16
6166,8,188
6346,66,38
6887,72,40
7437,70,8
7763,89,39
8003,20,37
7493,32,37
7448,189,37
7156,13,37
6369,39,37
6380,40,37
6335,40,37
6144,8,38
6020,39,190
6503,37,72
6389,37,68
7070,37,69
7395,37,20
7352,37,75
7550,37,32
7603,37,16
7167,37,188
8089,188,186
9090,16,66
8630,38,72
8078,40,70
7734,8,20
7246,39,71
7527,37,32
8157,37,39
9102,37,56
9090,37,55
9417,37,55
9755,37,49
9799,37,37
10093,38,16
9777,190,48
8877,72,57
9372,68,32
8641,69,16
8281,75,188
9399,20,70
9699,32,89
9676,188,70
9585,16,66
9288,186,20
8135,66,76
8461,72,32
8513,70,90
8574,71,67
8793,20,90
8574,32,70
7910,39,79
7066,56,190
8236,55,70
7887,55,71
7561,49,69
7571,37,82
7048,48,20
7325,57,32
7436,16,189
8079,32,13
9046,188,190
12847,16,72
12241,70,68
11859,89,69
11893,70,8
11645,66,82
11662,76,20
11659,20,75
11588,32,32
11453,90,16
11229,67,188
11228,90,186
11431,70,66
11341,79,72
11184,190,70
10141,70,20
10024,71,71
10092,69,32
9957,82,16
9941,20,188
10362,32,39
11037,189,55
10238,13,54
9619,190,55
6257,72,49
6807,68,37
7178,69,16
7032,8,48
6784,82,57
7021,75,32
7182,20,69
7302,32,89
7699,188,89
7954,16,70
7842,186,68
7606,66,32
7650,72,90
7854,70,70
7887,71,79
8048,20,190
8225,32,70
8111,188,86
8325,16,66
7753,39,89
7212,55,66
6920,54,72
6391,55,71
6031,49,32
5109,37,16
4524,48,188
4974,57,70
5074,16,72
5063,32,84
4996,69,89
4715,89,84
4512,89,68
4100,70,20
4411,68,32
4287,32,66
4220,90,75
4062,70,66
4051,79,32
5278,190,70
6099,70,87
6413,86,66
6391,66,79
7426,89,77
7369,66,75
7528,72,70
7584,71,71
7550,32,69
7673,188,82
7519,16,20
7617,70,32
7415,72,189
7561,84,13
9249,89,13
10148,84,16
9845,68,186
10445,20,84
10317,32,72
10329,66,74
10362,75,86
10711,66,70
10632,32,72
9316,70,86
8394,87,32
8191,66,68
8889,79,32
9867,77,78
9845,75,74
9732,70,188
9800,71,70
10171,69,72
10025,82,32
10131,20,219
10261,32,83
10194,189,89
10002,13,78
8281,13,67
7482,186,84
7402,16,68
7190,84,80
7674,72,66
8664,74,32
8810,86,84
8494,70,84
8517,72,75
8484,86,74
8326,32,188
8405,68,66
7741,32,70
5693,78,89
5658,74,32
5637,188,66
5693,70,76
5288,72,84
5367,32,72
5345,219,67
4922,83,20
5154,89,13
5310,78,13
7022,67,190
7662,84,89
7594,68,66
7516,80,72
7291,66,76
6458,32,84
6552,84,20
6436,84,79
6695,75,32
6627,74,81
6706,188,66
6560,66,67
7133,70,74
7234,89,76
7313,32,74
7392,66,84
7640,76,65
7542,84,20
8135,72,32
8079,67,66
8205,20,32
8619,13,89
8428,13,83
6638,190,67
7168,89,32
7077,66,74
7212,72,85
6920,76,84
6728,84,32
6571,79,75
6743,20,8
6753,32,76
7280,81,83
7280,66,188
7663,67,32
8101,74,219
9024,76,83
8989,74,72
8934,84,74
8562,65,78
8601,20,74
8033,32,82
8157,66,32
8101,32,66
7729,89,76
7887,83,84
7955,67,72
6683,32,67
6852,74,32
6728,85,16
6661,84,188
6999,32,68
7516,75,74
7371,8,82
7493,76,66
6886,83,89
6875,188,84
6616,32,88
5581,219,69
5547,83,32
5497,72,74
5502,74,82
5795,78,77
5716,74,75
5750,82,74
5604,32,82
5694,66,67
5773,76,84
5547,84,89
5851,72,32
5862,67,74
5817,32,70
6335,188,78
6378,16,66
6267,68,71
5716,74,67
5953,82,74
5626,66,68
5596,89,20
6008,84,13
5986,88,13
8607,69,190
7779,32,17
8393,74,39
9789,82,83
10081,77,84
10148,75,82
10485,74,65
10389,82,20
10981,67,189
11284,84,88
12478,89,85
15200,32,65
15301,74,69
16172,70,20
16021,78,66
16876,66,32
16898,71,83
17304,67,69
17146,74,68
17967,68,32
18297,20,69
18034,13,82
19756,13,85
17710,190,82
19069,17,73
18552,39,82
17214,83,69
17383,84,80
18519,82,85
19025,65,83
19355,20,32
19430,189,69
19058,88,76
19396,85,65
16606,65,78
16549,69,79
15177,66,73
14506,20,84
14907,32,65
15020,83,78
14829,69,32
15245,68,69
14378,32,76
14423,69,79
14592,82,67
13696,85,20
13299,82,69
13006,73,17
13951,82,37
14289,69,16
13535,80,48
12331,85,57
12038,83,32
11521,32,84
11228,69,186
11903,76,66
10295,65,72
10002,78,70
10064,79,20
9957,73,71
10182,84,32
9473,65,68
9496,78,32
9384,32,68
9743,69,78
9698,76,67
9342,79,67
9282,67,69
7955,69,82
